Event_ID,Mean_Loss,Exposure,SD_C,SD_I
536,29287.42095789071,413605.1938183969,8155.0630035933855,1953.2373762952257
1899,144236.50091089582,533806.6284335749,12482.365885105784,69991.66463010474
121,116470.0879418838,2176006.2517939676,52393.87496006051,50471.274275027
884,38981.003727163785,595893.0191725038,46331.01456381175,11316.893518400335
668,78853.12888222277,2296044.1796671213,1883.5386056979105,108948.39013218752
1667,15931.677774283151,149103.61436706362,2829.6544336778625,10187.69817145883
957,60251.06387263687,965885.40869998,13684.11260593444,66029.22337559
427,213029.1477991555,1254441.2025724198,2254.848854456923,63795.63650978889
1548,54678.33911522116,852536.6851007848,8480.145327056796,42522.11235890239
131,182987.70394739087,700310.9448202824,3212.4235266541536,24866.977888492096
291,89221.62743503001,623984.214132231,20214.245664767936,3835.0948823823564
1364,21304.06493064993,1479586.0091544862,59713.82972362956,22776.797655398226
1426,87013.79585117043,1292991.2158663669,114482.3790901407,13238.812191069605
1312,70518.60157179993,105777.90235769989,9407.790313707908,47137.83517988832
1108,50856.37424100273,1415811.311809642,18276.507323473426,42580.548196522366
1029,12741.350457097104,400914.4457121495,38796.04827940267,72443.23530260335
1895,53906.84984911431,219467.52541995246,2499.0702819381095,448.2368623843463
88,7554.540995373884,1528831.623929726,23395.576842587532,49680.67197660935
721,10399.372946771224,424258.1419058843,10513.495295806477,83643.0381625976
602,53771.13833060198,1239120.8558696317,4617.118312747316,46719.6626903846
1797,36439.2479033961,229286.3839008271,10308.511036216034,4184.568282286541
1694,259755.1308682704,389632.6963024056,1580.0045757769174,2543.18723085761
1355,47113.35559810138,513079.9171810794,23775.586151458374,631.9670722611808
640,141823.14521866525,212734.71782799787,5826.913337811545,29726.001876766364
1182,75554.93748508947,1052964.8899079456,7462.058519382236,29801.038193372307
712,121768.5287637414,242300.7533124298,2581.2575008268022,130085.71452090883
1157,30126.183887254145,439762.39611370896,39999.172018207595,15227.086620781469
497,284567.52098085464,426851.28147128195,13602.419001128304,12099.804696476633
1411,75521.08933143516,253347.04523655926,16979.506293911883,29378.907004679822
758,177977.59865419034,1140693.45912343,16853.03196442169,52393.604892746334
1497,45420.2240908663,123291.60621131238,10569.377578111296,82831.16614994982
322,10559.537551360383,781304.5040716192,4276.985431075958,48755.461023904034
1814,111997.37723756429,1870543.976545583,27340.24903440825,16689.022644364482
1473,778.9911062306754,854193.2156258641,2717.6835160218257,30228.68943760241
197,64491.52227596718,1249592.2715007348,2193.480337261709,58200.684016934414
1569,21418.61670645189,86534.25795638106,24767.492215025544,20236.22207048103
1519,98718.40807194362,216493.7376195213,4685.025800522974,7326.67390319604
1293,388342.9384253745,1687059.4961824045,7327.948268410083,5579.892857068424
1861,62437.30914693228,941727.5561186958,12895.807615175863,4.732710631237241
1068,170099.5552721205,765309.4828082353,11933.16543203534,38000.775546237004
1982,70883.8014257873,817462.591618078,24659.735021693763,3533.0218719128115
1451,68486.16626679224,401083.3431181947,19533.121772732127,8385.032830737046
378,266532.83142952214,399799.2471442832,20678.75966334799,10609.37173649319
103,220696.4677196806,1150892.3547984753,25039.069070702728,24655.327303095506
729,154084.72927167593,851565.9071429082,6923.539884134886,15222.806047325834
738,35134.02747897667,480137.82256373845,7781.994444937972,33687.82493865871
879,78747.63562988142,1725138.0984699903,11524.988435863814,1717.3922982564939
159,25347.033626006276,307285.21330169064,7347.848372683321,3969.59332543724
257,58683.71722966953,261446.90530311444,83911.43128044458,20747.142893223026
325,66206.15169138732,1546474.3032064242,33645.75637108198,12327.815396099157
784,178165.09736716875,1195866.3658457252,3598.2018523901384,10521.355446938604
1247,226363.71605515885,542673.571036402,112.19723546819401,2081.405220572947
503,53549.41765731175,105080.21419556462,874.5088641715136,67820.03328417565
766,1786.3043480275367,181621.9588477534,5595.956725517577,35311.99989951199
1203,197886.40931551292,800832.4531120509,2427.342949700391,3890.2163631758567
425,19149.794556122644,364650.0501171317,15243.005965955163,2017.7371068457521
1124,97254.88672668386,1358083.7525549515,39037.891583634024,110513.81236591852
505,2528.796272108078,2246124.6485905694,26693.03934289913,34293.15699032408
979,51000.342063524826,1228520.5123705715,4856.954777710619,16210.52045863385
1463,426586.6398803299,639879.9598204949,10193.16797229391,36292.789551861424
451,10613.148066810383,1165809.098474298,14181.231286513994,42358.4327905793
94,55111.503790951174,324752.50394446787,33236.304251645284,45418.678201897
461,36694.16815458838,137131.34806080206,36542.12996351145,19495.580162309412
1781,235480.64324955863,353220.96487433795,48096.41257600343,16857.397554121446
1491,203515.75754336055,365474.30802743515,14236.215356688936,332.68033183402855
1110,27141.347373477616,1754120.254225399,23701.368890414262,78337.41754811087
1798,8467.351597259161,204828.2225819946,2371.1750817264488,27737.84434424699
637,98654.79578413247,173488.74758783687,16661.47488757258,6812.812938933654
636,41002.857271721776,2625451.3834280465,5718.786757155232,75623.50901457056
1442,111499.89921354597,167249.84882031896,11302.71085174612,73929.0956280638
1073,3264.691430497454,1155571.3447089652,20105.199118835873,135802.31869099548
1210,14317.688712131638,290759.3652944506,5940.806165418128,62157.67159872134
1622,115954.84509710433,173932.2676456565,1071.9200885835087,183366.79603402363
862,23872.767453452576,1873973.1601428692,205.73164704425253,8418.659136590262
1410,194902.87371368552,292354.31057052827,448.17493064367625,55402.234442471876
268,6037.74705528436,601852.1232256137,167.69583676059207,51952.9648769634
75,24268.574057892558,240209.94961942232,2338.6567161266807,7877.602686116873
706,654328.47393597,981492.7109039549,5475.2865581176975,3108.778925904152
1221,56753.0203992452,85129.5305988678,5000.57261300663,116503.81526779787
1479,121390.75359010734,182086.13038516103,86545.60931991799,10530.353932538
384,20170.384424629054,55531.261212355734,7305.842312901393,61413.131779855015
255,94127.2019527604,1072083.4088281197,2726.0367263134626,124.07084650197459
434,129501.4358378103,498516.3037766796,15773.899715280337,637.4692835561609
1180,37757.269721487435,314930.2720965603,39032.57312756502,18813.55422317819
533,176549.02190673395,406439.17382626055,22667.825131417576,8182.412064917589
126,92487.1386804307,1983244.1100000716,7021.8706701687815,35120.13370824921
165,49285.966514466905,1812250.6269901658,16493.208097317627,25011.221708160192
1638,81563.66591864821,943231.9010003385,25095.217453577618,2419.5752240502957
134,85981.78872067675,1620048.766717968,26046.748992247867,5324.6164994505725
1705,18096.482879838604,288858.75617642177,21964.554570278233,14733.105190261189
251,51538.99743621062,359869.9792754696,40929.487560136055,6159.258699612697
1986,42072.686046961564,713379.4083796063,40820.64751547059,47138.60244535957
1656,51233.12943511335,732878.8568106153,17299.435328154847,16139.237092345338
4,143175.45474629113,492900.55593753164,11237.339317615279,2942.672727913847
388,65881.99739237587,383941.97949813644,20520.454412760806,19869.398210752253
1154,281869.38687172154,3211245.756419453,34098.28227113498,2856.965460413616
607,34768.180847446885,1290795.2703385777,113.36276859956466,4141.2397415958085
