Event_ID,Mean_Loss,Exposure,SD_C,SD_I
916,277745.56340426905,2159460.8637960777,11934.439952316909,40554.096619983924
618,76276.47420957824,908553.719371082,2121.3630495015946,120284.22288088182
127,195557.91549613528,1070107.5197974183,22295.822036313068,13838.291685636232
581,42001.544360429136,593933.4141991705,9713.544278067457,24299.760102591354
655,390994.5828202663,586491.8742303995,1182.2787917191135,9894.379574026198
1719,10793.605988751642,2027763.664692063,65035.46249108705,37139.445999308766
1837,96898.05022527979,268374.8931944694,18628.666604870235,15068.817512516143
184,171612.49404499648,1110293.304169617,14290.147146413297,21681.024832054864
669,185045.18846634642,277567.78269951965,43119.34649568803,27683.588683429487
1422,24309.696923894506,1684124.6053812748,60731.19464771636,38251.43329670132
1658,56492.979498894194,869029.9618698114,5475.2301110694025,2043.7020135597495
708,107655.68077223527,849061.601636084,36552.82468875255,26712.13909183135
1481,41758.848903108184,84512.5821300808,39123.25153930407,18617.388349299454
455,118119.15041044746,448644.8259427678,1230.6489313576553,4738.771767814435
1503,52367.81804235417,614004.4991936304,27381.217009311167,7696.926159044069
472,47532.826994720395,287257.9403311676,1430.8298319911128,71056.19551620228
1101,12580.213223641707,1755945.2317178913,19867.358238765613,67781.22831149357
528,4404.845060653554,1499951.9851400433,24339.754964128562,1118.6460978592902
551,198381.7568377947,561387.506707435,10062.306666515678,38585.38759105987
747,73969.69791773046,342839.2454955214,46790.647992885824,26659.261193176037
1913,91028.49942959852,1334172.805961139,35463.99397013577,92741.4225047474
1309,51212.38332794278,180893.94719305684,57269.2103146667,78738.94974628711
1713,16174.590094091178,61217.03758189951,8319.853932105269,28593.115540487026
1258,65676.50291063165,98514.75436594748,478.78387580495564,4937.07785118008
704,28601.236009616863,42901.85401442529,36705.939887828914,20322.84042754989
579,200002.47892136086,553713.4507649365,5550.28729590304,42622.2079117505
217,475933.75483258464,713900.632248877,13849.586447756688,100025.72238768698
51,241900.06921366503,967224.8710880198,37400.56552169771,14925.521214795399
1375,82649.32875766678,875327.6261312154,5357.411296111176,50674.48314280036
32,108813.72052665416,644267.0681227208,8224.344427460417,37947.65748662294
670,325475.8025938089,488213.7038907134,12719.89315887173,2690.412501522895
1930,85103.4277565299,1567637.158965763,6978.7007243932285,26940.969770815864
63,111951.37857618117,1020401.1611666997,13609.996797134534,6690.393118757575
1751,109138.92178879298,261362.89906616515,212.14575859351606,37969.39710315834
770,135455.81129052065,574637.432507612,5246.906756984124,31080.26195291457
1962,112468.78550136059,168703.17825204087,39315.99195967884,119252.13870152828
1334,122188.27304753751,328888.56107519555,11738.140701937522,90395.99456149567
1068,142366.63197945137,4832023.015456728,22257.76915298754,310.7621555129945
782,182160.16642931494,273240.2496439724,5815.491481902318,2752.648759336904
405,56752.32702108206,988622.2013210652,23088.46125458549,48375.33268652993
601,150674.4382216904,226011.6573325356,232151.40089452328,38188.46553629449
1330,11614.563438491241,2295804.419476039,19900.731068562807,53267.844871910085
1470,229789.12670778314,344683.6900616747,21776.16688737206,10241.784828573689
1338,37680.79880399829,351204.244002569,2601.344766189927,62456.3039576225
1293,56827.04592072631,743371.8537927982,11362.50171847911,19276.8952600847
554,179042.03922788438,731777.6858304646,43368.69139193056,10021.68609959257
1764,111464.84113781678,713875.725925622,39542.95905550063,351.92555667473385
873,40598.495869427934,702543.4818665509,16257.556791914443,67675.37169509969
1865,28094.810081131527,308746.4537857376,51430.21952696587,25293.10105285509
1741,347964.08111994615,521946.1216799192,3393.365185676226,122241.26634598071
297,10105.711088192109,742506.2963061983,23616.96722289021,41386.910129084914
424,477.8985681885758,917828.1007824823,6296.281521247968,2766.5592438086974
767,122935.56575529752,240786.82454651635,22818.843610361728,29277.47070600168
744,104846.25262854894,997343.9885107204,2012.0599360310193,570.0043957107563
978,147173.22793763975,2118223.77692385,63259.84267257373,26926.41521300954
560,144694.32241478658,1170278.0520156287,33953.30522736274,14226.0761000124
1642,218863.4342491531,328295.15137372963,4935.617067978827,34018.00081080067
1773,280768.3567706465,522415.5656062903,22310.521904019723,25738.57592025672
1141,164094.0580285046,471402.2135245078,31318.38260645202,9996.740194979791
1348,29078.155770579724,338440.9189924002,5170.463938109494,5846.136582104231
1806,68494.97528967337,557647.5455603986,2155.4955682831883,17117.400103861164
677,112906.99107552657,477810.90466763114,9537.54501117768,142899.6810667572
1720,85266.48793081346,127899.73189622018,3209.7609119642093,18881.505882285575
1151,19034.593875407314,222679.51022704688,18349.027212133835,45588.003211152
107,97880.92526563913,198430.11878674477,12140.636947457835,1935.8104290724737
619,239382.5381028328,359073.80715424917,13655.086776387576,15714.865981633306
1254,59639.131876133106,158163.73194636972,17221.010312649625,28652.909994384023
1143,121597.73745581346,182396.6061837202,88446.2638909193,45906.03284065462
1015,105263.57727013569,180607.81032968522,34612.115276688426,24802.45208837699
522,52060.58034417509,1588478.7891964833,21842.147812913532,23899.126236903296
660,91633.61977381428,1315663.0707690504,9946.066953194353,47636.46074811408
1708,25958.984357505382,481444.2008336378,603.7344933303392,12402.715940474865
137,86888.37976339512,1734330.8956566614,2725.695263096659,3134.3996205459903
852,176396.32137645278,264594.48206467915,28876.11163115773,14071.484018034482
1057,156501.5809813474,723997.6329349717,10136.998328808515,5714.251710429737
535,48740.58014154638,127239.50614685641,8956.697965838724,111531.91646936469
737,13076.74548988211,1478535.0427731504,48356.66283851739,28432.57440751842
116,177006.58567462425,265509.8785119364,14577.97488539286,19525.274704433996
1822,33873.176058624194,50809.76408793629,50564.0208921703,80223.26937399303
204,5995.264391720171,263538.02780152747,47897.81795189394,76104.78191189923
1378,64804.839192929896,1907383.4839449625,1838.7310605102903,17732.090399272874
563,147954.3223232713,221931.48348490696,63954.958657390416,68549.67288933345
1735,181811.5964997981,331219.7364055369,1761.6976411918697,2183.527804845589
1524,443154.53289573116,664731.7993435967,72833.43261589522,71580.17535680151
1937,23098.90486947976,1334605.261861292,13257.260158587647,12273.021180748905
1454,38263.445397636766,451572.5276594447,31475.596905817645,27478.783227718493
1316,103433.32761517608,780148.6357086448,26942.6668963961,10371.379839145644
468,183461.1264932869,427479.8927243976,16078.449425687164,138152.21369262028
1493,29333.815829642062,661444.3775662899,21255.30807768668,2458.054083358088
1569,58023.65285499795,87035.47928249692,65870.13930051538,19546.442024909553
363,57741.824585753435,386472.84618586744,57686.69296712799,32016.198081476177
745,163077.92506663388,1593695.1677851863,23369.704379930434,31551.414718571148
1662,30323.06034936436,969071.958580472,23586.690684372094,44296.21647498948
1753,381261.06596004416,3306542.903257956,6239.390036397812,42532.391620507304
663,78572.65817981487,1279401.3669020915,38805.63186681342,51998.96197858359
617,36451.66816069079,495483.2117136441,22028.889918292432,8809.296799407874
613,36791.91144096978,930499.1422900903,38502.87852475647,15273.711443915663
351,2031.6453013756748,1233972.2381035,23595.287895176734,15883.573486730706
1541,129696.10186269581,259278.93430887657,7825.488529113688,102957.63054645804
1986,164546.63083414512,246819.94625121768,4621.781838121894,17373.413567718457
1703,3626.1723911348977,429510.56617324636,1761.9588797494923,8278.40175685034
1626,96990.43195764856,145485.64793647284,19401.295414911834,33020.087771934835
598,167393.5800200553,267860.67942683905,7351.230545081469,18392.07119423936
1905,51918.864531634856,2421005.751939336,21903.86635432372,9497.03135604475
62,62363.43486135086,1549232.2958734443,1329.8364257541095,41439.47150322444
1346,49371.21609518698,740541.1205874098,10363.432121058191,7032.325004618596
1523,41721.55309563051,423160.9232473277,6640.765135509304,33110.83330447288
1575,74314.43103341715,253253.64899889918,10176.449421325433,18580.663912217584
1177,19980.683746218525,699077.9252601012,1227.871995769626,12686.469572020183
1075,63915.19772717553,628459.6124835789,28336.262768107543,96308.61591311192
199,312873.18765724206,1252088.6191579108,2729.9220528414958,12941.45182838471
827,3056.29917020406,2170879.9189985874,319.1617203842127,14089.529560537574
1224,19801.794642357254,329086.4822313368,64331.06557715039,67489.73279221045
828,165411.20334362317,248116.80501543474,4714.125696269613,4559.381921498501
1595,15579.227210231995,425289.6204362215,38733.57954400431,3774.0853579007244
