Event_ID,Mean_Loss,Exposure,SD_C,SD_I
1424,118105.58107980045,525138.5646363561,12169.581089835707,193037.48254458237
1152,73809.5723637503,110714.35854562544,10068.397645089031,28593.831446579472
1015,186970.58134358842,4328283.119580883,49394.30688811842,577.9126866278508
284,40953.939192453414,278976.5345032519,3542.7351005488467,20031.615509557367
1693,197190.4864564781,295785.72968471714,54131.22778981218,7622.265417647435
253,38183.40414837052,406004.6141429095,47291.824074561235,6509.161146596506
1352,13190.791884314096,401875.6141251275,11550.192972488872,4839.247531904499
1685,80202.3145766095,822285.742288793,11658.704244204646,53974.78894197124
514,52569.36509882778,3795920.173974124,39647.10024880081,12594.964554593478
597,439629.9504371016,3170241.222679275,57448.15177875546,26893.851370983542
132,11304.219507183127,915677.6822719485,83655.90545916802,118837.79878918837
1821,38865.95981898555,793738.7537664848,76459.45796552161,33134.090335437846
1979,159133.28311094386,1214552.124103467,133962.79076338615,148396.24860741978
1311,131196.17326621086,418487.9356223818,34832.13543430126,41341.906037590044
1330,9387.300511119845,80393.90246140695,95724.7150995935,30533.311553102896
531,1455.7709441151776,4200843.817989234,66117.47139313747,83271.07685120849
1617,885705.309641439,1328557.9644621585,90025.377827736,4559.4371290593945
1536,215077.63389419302,331719.68758443097,467.7887484644513,5624.258290616607
266,90954.01218569835,959296.8157434927,135141.82546168764,63328.636041367725
222,127138.83336320873,1014769.4830707021,25662.449536249544,40041.832305270626
718,61999.20285561943,92998.80428342914,64015.75524522796,93757.62530033178
517,84585.4730517824,240173.44508864323,5442.142566225901,148810.07660014226
792,209419.15018312467,712596.18249495,20163.342492625212,29497.358972718383
1849,428794.8159673737,1726741.7889236296,12668.546303154253,54441.350021220394
545,40700.0557451146,388969.3776659009,13793.173553030954,41672.48445801539
468,366968.6857443055,824907.0744024157,5261.5919985375685,239759.03358711165
144,25920.76700715236,1222447.1093753492,65547.22009090171,106701.36843845033
1508,48412.33099839376,3291840.8708076403,371.41159075637626,145646.53859349244
148,7576.781329803636,591944.664600486,14988.055476237363,17609.13985171475
1420,30353.472259400303,215040.62229173485,7666.306188204015,88843.27158637317
1077,498514.74246152694,1007877.8436423662,35570.272599211334,18511.72983958638
1636,123029.4642136757,2059899.0099567557,11734.723093402754,14047.912148571497
101,16169.5430396764,174564.3784868346,11990.102721245587,173230.0661970975
706,642413.9976357333,963620.9964536,26803.652384735844,1169.5908139251273
525,422380.23263269285,633570.3489490392,42301.390404053054,201814.50998920584
505,281040.414822674,421560.622234011,5172.6836200310545,9699.056989043498
37,542028.854270204,989433.3029968597,7719.681090944475,102700.89137259514
1083,49725.45944276991,531154.448933625,11356.885705917442,19371.415285019364
1132,362028.63537774485,2797533.980141278,145600.85034628725,25911.840239822
1425,234230.91660982164,1382536.5790643624,20243.64065205194,14658.791669190243
11,407674.1229651304,907520.2951255052,36550.7656135028,52842.97098608899
1488,318822.7516133339,786209.2193106108,11058.757028402897,25671.436383105905
1517,85081.03830230884,1031479.8902923134,26969.83956622435,64270.28259522399
1121,297797.05490533385,446695.5823580008,3080.3900263701034,946.2617652163146
1440,60885.98846668122,3349495.5878667766,1414.4002815315614,3992.4239585177006
1134,79675.70438434902,9568477.600648966,25299.662035527363,6299.0453729847
1053,22836.690761453352,300399.2281922092,20343.743831685002,32579.619211931993
815,546909.4823400495,820364.2235100742,5888.076725202419,101177.89746004475
1833,68780.89926525137,232487.11074423866,46539.01740148393,131450.76937134622
1574,147053.3638193321,1622752.4888816848,197926.09167199445,16847.21314385516
1372,99296.73803501252,1624584.6394137102,20143.860752763703,51251.05240970054
1102,643416.0904204758,2825063.9252735395,39186.118968480856,87755.54343173468
1933,81608.4364641897,2090440.096600791,131847.49485060942,20450.578577430795
1404,301507.9159245383,895909.3944541302,71241.08409380162,31557.141155162753
36,386779.1389879267,1423435.3695772444,24911.442495249616,44536.99381085119
594,114400.71425227831,1748497.3690397206,53498.56554209999,8692.865776969826
710,95018.29068504536,1078425.2602187344,5484.829189529542,1579.547794711983
160,275463.6105441299,968396.6342609208,28706.108574057398,9949.520507914609
213,488130.44917166216,1553868.0329330147,13087.98989533435,59147.070000222506
610,281243.69334579876,1222885.949623439,7029.5876141083,4588.133083280608
1785,51527.94360074154,1548993.7463967453,22224.615446742697,12620.774600863193
1088,438401.586929465,1423433.0929029058,5617.156093686977,24736.1418556245
1254,98067.93600876993,1905150.5370337525,48023.821638148554,4864.148236246286
849,171712.60713858824,1544203.8795726136,24369.895478395843,12769.266032991103
1541,356087.5041630632,1100149.248522982,30298.43772382292,145329.2909970726
500,41748.244757440996,1717597.7130354806,6330.575653095445,1169.2675040172878
1579,306968.28077018925,895343.3438499182,6022.296584792747,63580.56075720244
1010,181348.68947173806,414957.3728322473,35026.63205576161,29110.34308692868
40,447624.8934048103,671437.3401072155,168014.20577695296,67003.28959663514
352,37741.27573400024,1231348.6074450063,4048.126034492704,53304.73641245371
316,109180.82771026487,1339796.2669638076,13459.849476052446,15177.421932912928
832,357764.46880148305,5365951.562446431,81442.75272191026,112721.24973758092
720,3883.8076803405766,672899.5073673446,3000.6682326947844,40629.388873275704
501,23802.065216123905,751642.7846135072,83462.10143647787,103739.25684687574
949,932670.3300298562,1399005.4950447842,29717.53642863004,31253.823872170262
1566,65810.33743059522,109718.05340608956,20987.975091822198,250737.5224501743
464,742169.3453004078,2222916.5508754496,14824.033532157577,88308.35294222613
887,40308.59429230777,430885.3729444912,14102.602223211232,202795.87621613304
1449,89599.72673227366,1408206.6396314914,14599.955823922914,43333.11888735815
281,279567.7034464876,1746037.358192319,86444.49102096516,38512.022256672324
1204,214459.3639369535,955821.5568593862,51464.51074778994,84501.06413970243
512,174035.30513444022,3135476.0609055655,44312.944255486,127361.62070302444
1540,150961.61754405012,879927.0926225318,64128.12535529887,199697.6669204557
1378,370863.7579460693,556295.6369191039,11888.542821595469,23542.737926461956
445,53562.44185793974,3395270.475341105,38497.87000674867,96178.90008706933
1698,116848.12562340387,2966023.810969515,24652.352467387893,14192.392789072313
1770,33790.810383202734,268761.675935,61011.52482176112,47323.257476582345
1861,181239.1692892988,271858.7539339482,14799.446454430017,11895.94626009653
1796,57681.64701449524,141442.21118089271,41220.79799098615,25607.211129369334
732,81245.69918591896,506458.9129820762,85554.89507161676,160731.36217804023
1828,127448.18078778661,5377309.075653946,20576.647565169966,9475.817799425447
1699,5427.088844235833,1226420.7699122687,2757.804363709201,60045.739414979675
1192,19288.51004133589,700839.3914295428,29031.01530469257,53929.78489924685
1823,231627.38134360686,3293505.955263151,16984.234433455964,7720.36565207321
196,112062.69950676095,905333.6137541353,44617.161703942635,23669.64457332284
296,400185.5591004875,600278.3386507313,120664.28561460483,49666.78566110869
648,237273.7364625877,4250918.401150364,26590.811059153133,12434.633089364415
1857,1626.786513518274,2840864.3775348347,25108.629589418608,96753.6639882271
417,191793.8954258198,2783663.594178036,42520.32431374643,214869.3645280708
1596,19682.467838952267,1077035.299923657,4370.168053073894,14505.90667783224
1118,303675.6961183775,2336965.5396963223,11694.718105067841,12414.953454373343
345,953718.8056298067,1430578.2084447101,100522.0366456901,36411.02142589241
