Event_ID,Mean_Loss,Exposure,SD_C,SD_I
1543,122662.43311818803,1192431.6862089967,5232.407836447635,29836.200806264653
1947,3221.4203187376997,1026739.9337198366,2144.9407308232917,6624.945311482723
1267,53006.5251893961,751256.338361779,14361.47112884234,34942.26300256213
703,55724.3527820552,397612.9194126908,2949.0459406399073,2287.3851069940556
1437,107230.16238024745,214192.6418230496,50787.44746574893,16192.629570780113
659,39103.84351365344,1331304.616140595,8.0843215530808,30448.904391450327
974,154783.659816623,705916.8403438086,25368.1620611439,8377.51390032063
271,37787.79317190531,1079710.3763181719,5899.9081200232595,2071.3104660479207
306,37740.39497130118,541949.553399245,33684.603717247024,84970.56176333042
1731,22680.625951069742,127292.05796068476,1116.6467619484415,66186.51189486287
1401,103643.87287495744,2621907.6470123404,55037.16732836196,70434.94123342796
561,7171.104319317255,136212.6169655209,1924.4085997637815,103674.95642835184
572,40596.48937849319,1634739.3621755484,27911.09006812825,5513.312222168891
1093,27941.448413603353,157524.048425094,13112.053079222618,4636.150134618327
1294,23445.209212715567,315903.19623340695,10130.611958150967,939.967426191653
1526,5662.983000939848,391478.0722593525,5916.968274655368,60047.58261238419
1362,19007.471302506456,1716577.7508816796,33141.202250156726,37729.99563298347
218,53192.86769019983,1478945.8816731642,4010.991237074455,27083.934990329828
34,63059.240567173714,1169676.9828420389,22993.355812024987,70918.2393041609
660,28262.920129324466,319064.03786405345,10623.86247165785,23107.852683962406
1714,94546.62946016222,141819.94419024332,116981.40833656424,3751.7211608393354
1675,36824.574551574246,772466.24685626,17013.639970898414,5255.129335979391
1473,41190.59721021628,357244.2352482398,1980.4769965892883,3827.9381783547487
762,137351.54187357574,955080.0051871347,9790.235641155976,9927.231592708824
1048,72259.89901130358,1069216.0877753715,1234.781990593669,12885.063405799618
230,275520.1367465798,413280.2051198697,6055.022306465409,43031.43438904087
1625,40067.624273849724,930644.9636934199,7569.964093952057,5731.2972788539655
1920,158340.04947191267,1236727.9420696902,34533.4469716784,34892.448088956306
851,120662.99193677839,1780463.7413327368,32761.46955322561,18245.41974446735
278,198809.4520818924,589520.5328461624,209.24142687891734,215630.99077288018
1536,282754.3592533525,1017384.869257797,13677.884847934913,40465.24792819353
396,693.5520784408518,460576.5148522733,4554.269779679292,93750.82366030218
700,8319.763812441037,28725.15743177392,6944.389183356939,11315.286559936512
181,100970.79903098902,151456.19854648353,394.0040471749982,3545.2490683112114
1573,44516.16129123082,92625.7632394153,24935.01010607228,19035.239308456807
849,153895.46908803645,230843.20363205468,54136.76233731173,3581.8901300415573
1335,1084.6949512425617,6929.048843783232,4455.397955290059,18310.41206353404
116,148045.32126097847,1320919.8387745884,7527.693966528584,8495.00897512308
860,13077.502021559521,554390.981901322,4161.934080541897,18235.80059386815
99,30855.702296174033,326112.34590878553,47879.19852429188,80689.03257214138
68,312866.44655780745,469299.66983671114,169.20017809253483,9210.530536926533
1107,4767.924213364514,420127.5627711754,15781.302340532911,135698.16543034406
995,38637.72210955542,57956.58316433313,36830.06618124145,7033.346751281133
