Event_ID,Mean_Loss,Exposure,SD_C,SD_I
1490,3793.7596983031226,40214.98723054764,5010.37225676556,13623.972829299011
1815,430477.29007153714,645715.9351073056,6848.196558002794,3600.3328420959942
176,133817.9909819513,501577.8782672351,57724.31146740854,5575.563290213415
280,65287.22321303019,1501025.4587256128,327.71762082081295,77297.43127885878
61,18290.806388252335,1000785.1304901228,19097.43311538229,4159.342222353956
634,154148.7121377538,231223.0682066307,4146.729432887673,3622.6305256606515
937,99369.34169896683,176930.43549708824,7976.422802522528,101509.88712102243
1215,149012.17915192113,231416.0071422985,8800.771208042694,37374.68484738196
1707,64938.14074549416,495013.6306356699,5941.01346354739,3829.6365635383295
974,8226.880926266576,795257.5555952243,37725.86982063301,128357.46488746675
1728,45395.503008691216,219540.04871379927,9690.726940347333,5728.067422987619
1306,45404.008541117655,433889.32169519656,10172.658294999637,52340.857726578855
1788,1046.0449905776288,789240.5602627245,14479.654394777417,1277.033764155477
1775,1155.264997535052,435232.8188363828,55819.33198563059,35265.89250473212
1641,48193.19753707092,139063.5640426083,27967.364036246116,28483.547871720744
103,156068.3466806861,608946.2802788417,1529.7246159582671,8395.153139604305
1410,117393.89359875735,352398.2553979916,961.2829840033079,37095.441997574286
1368,32777.413227402714,1796837.7348510276,20054.591751091593,34554.91185943291
1904,110786.55881610398,1344992.499117023,52341.68516227065,57644.289534058466
482,125082.89644394815,189954.63813707244,9370.932756076056,75112.50860492825
277,88720.50780235657,149062.21049174253,6833.173968995111,25688.3067148713
631,88415.27311455349,384493.4461339026,33098.03028739098,24261.247137334794
1959,55396.24058015289,478192.63013115566,22116.788737106104,34984.521565793664
596,15803.767362039955,2419663.086616066,19979.330540679097,47030.49948807384
1169,58430.39850107213,323093.67045592156,3880.7315663413224,15851.605821297197
654,50835.669597548476,1819628.516219083,4644.907363245137,25289.075161555724
1372,107570.51190128192,633440.2666155534,7943.764245614759,31670.20225606071
539,232770.04092633445,1951435.4515028098,5561.49525890598,160375.05500069083
1365,56472.48878649127,1089456.025382435,85341.94316151696,31897.21036374836
428,148435.4325063943,1109101.002561773,450.87313279605786,9138.354773068393
1936,200449.37706881604,658320.3662089889,23607.60313022727,31921.463304499688
842,28553.028111326927,1651035.1782563948,17495.50074182254,61632.798864484146
598,278306.94391447917,417460.4158717188,9370.92424116913,70118.55280314092
225,8765.908256153874,2141046.045196492,52454.18209064871,57984.87492533388
1943,278391.360433388,911461.640435452,26619.72972307149,78880.60574176183
1746,21442.516636165794,519764.0542805203,153830.8953625983,14674.209640035151
995,49348.33592816277,3625190.7827846613,4433.077482567921,25502.551972164245
1305,111535.82226655948,1782543.4407427986,2207.2891822953884,54441.7489180651
1819,283331.7249579449,1330651.6342356368,3602.9348023963876,11056.9209602972
297,35437.56420975745,288063.84222827706,7529.758534629565,16723.758034455615
283,173054.358049446,3275761.5750969388,12940.867038453178,64036.00876846578
592,148725.3928027316,1222767.5113195374,47637.18738697873,52921.74344642864
284,20880.80825998646,836477.7764250427,8004.122777800847,127705.13600541126
1055,78347.53471138337,2293628.195083439,59231.294354652775,198539.87349817657
1369,78819.00891221763,159258.60559517023,14918.047124033415,9915.011746444348
642,43594.20591364967,134711.47714836468,24995.654268600225,83055.42394501239
817,181652.41733544297,746510.3506090399,7369.902553453462,3574.264352786837
682,312335.60378482507,468503.4056772376,4070.8597011911966,44538.68370965105
136,151295.85292590738,981544.5163774055,48865.25159999544,8949.19635050364
360,433229.1914539465,649843.7871809198,2783.4988027685827,12856.303895468944
722,6214.385216305111,114055.0392845878,35695.54937902244,105290.52210606834
113,4551.976191717164,474100.753566482,20876.325698342895,10993.414094326534
1816,269158.0609965411,564538.6006400066,47382.55374118742,40260.21114464857
788,273699.2662323193,410548.89934847894,30364.90767713525,7062.164342917531
1674,13596.475789317952,38180.263724822034,7939.631879338225,3529.543880643531
1069,53076.53945007988,481077.3235503553,20503.684469683263,14921.322081245467
5,216504.48618066788,1282630.23052366,315.8359583154512,35232.76138668615
390,16510.33084629518,1865754.100076552,15474.55183512096,10258.056380062071
70,37343.249822580874,92376.09153655198,2158.5510289976837,12848.980103187218
1777,137106.2103158022,669381.725232912,13446.47394932892,44406.14342992122
119,481414.9323948127,722122.398592219,2786.3457735066195,3904.993571245032
1745,191428.01702019756,422476.1929162971,74683.49798946812,21320.124046575576
1713,180241.06084557154,2438711.0759072346,17769.150398481434,102338.84305352828
437,50346.95313442109,390581.9816724552,58664.541178402535,18208.47920476376
1139,129932.1233832847,409207.6804193662,542.8833644538872,20502.591731023556
512,14401.180582683179,211462.06344876785,24363.689908861354,48246.87111019081
