Event_ID,Mean_Loss,Exposure,SD_C,SD_I
521,4352.761092428974,267375.26911304117,2242.8961332575163,64610.82170097432
514,72311.12051237114,108466.68076855672,13976.789978914347,62942.78932612606
1226,12558.144480686122,86900.43480202874,1488.7899350125003,5371.5507915092285
1910,113087.42798986417,745848.2352735252,10791.841137415662,7349.574833865942
53,19689.945464387154,284543.27861177834,15498.801296287951,28943.30005333125
206,127949.73155452292,1951117.9993983195,1163.0174636133581,72744.22657021049
20,16846.02767286714,236402.26238862445,3709.9677136705354,29699.277992097148
1256,102228.65675264431,2463500.1685357485,6536.499698917193,14126.570184878145
1457,32406.176223276554,137967.42260106106,7357.018181113805,4443.050505036023
1213,69996.54848968601,104994.82273452902,18037.35661381574,14833.39153607536
581,3154.3217394093626,224876.93109881185,12047.079920572489,22400.519555428204
1755,54694.47962484967,1300752.7496006817,7703.077683567901,9645.584433995522
839,12878.117313131102,442700.9129402753,9585.076969999662,17133.02860957653
1571,53292.417431247275,87466.5733057253,208.9856512335786,3348.1973314289044
941,12192.361968895562,135763.35156290667,23551.398480592346,14443.75937687801
962,45970.7166775209,223735.43944186412,669.9054921692855,2283.926192914646
1469,9378.528838441543,535202.9277549073,28287.202112174975,1208.0290453448506
1957,19871.936358339804,242420.72500372806,12459.15984533062,46718.15493968693
776,72325.05066801663,824747.7457824887,12006.292756949837,5508.378987867559
959,300609.1162961729,574726.4927895387,19509.64098203876,20544.759771910623
778,47708.46871205158,1242045.263819642,31407.54559930387,3871.7493654291316
664,92968.57367493078,417043.61152486835,45736.243914127524,7308.637818018164
775,62022.30846965449,241340.97110176116,12542.10555346678,10761.171337807606
1829,55189.47441042949,3355060.473756926,2612.69792109184,3722.5675043957467
176,5351.394616859217,263692.4033011826,33742.70686209489,1129.250096689638
1349,12466.591661892024,335802.2454258146,664.3561405374293,50324.90332091087
1939,171685.9902557139,993688.9045384942,26349.01786251293,285.68162621675015
278,42232.902475325725,63349.35371298859,18252.043752698377,1518.760631227748
1934,76222.36951878855,293135.33275033464,37616.24319892475,39243.02026642956
1248,60101.64421044144,90152.46631566215,36440.528563693195,7951.135706540571
164,38098.784805924704,90009.65010864405,873.9025287915881,30794.142016627386
83,39257.86195322808,58886.79292984212,15043.041241145302,3794.1231236383505
1784,64858.12002098772,97287.18003148158,2130.4957326664885,6500.797922601189
448,12172.115840961189,287100.14801343327,1307.4950451030677,20410.75253602367
1473,39185.04082079663,993803.9018564639,9515.350953081583,107454.97446247053
464,47388.248011232536,530590.9466461448,1643.1147521697603,1830.7511996270496
482,336652.4475900346,604573.4745666333,20825.510263275373,12282.009148610041
184,34641.88247917555,439443.7851765803,55549.7173895745,1056.8759823675846
784,82756.15869681642,1028189.9333179451,13488.010795033579,5332.249723823455
852,11825.773092783942,1274054.7421357061,4289.603424773448,57125.603043370495
1657,5417.898331988042,1137235.7987734803,29645.198946815064,2434.4403006121033
647,164172.27082536335,1003209.7521579184,30688.418726442873,46653.6867150022
1922,104964.71133951822,157447.06700927735,21115.285440982447,4698.613028989125
967,30559.33664848686,540658.3813256512,15277.685453209451,47494.64939695304
1261,56187.62881617365,523598.6063877491,32374.116459167326,18533.710278843184
1347,11670.917695325967,450394.5985832469,2852.476068647782,50530.31332357536
600,98250.39184800378,393294.44795614685,42918.14882384793,3948.60548629997
269,5834.098511521341,56039.71869690943,47060.85974701206,34455.31665668266
1652,113186.39053524018,169779.58580286027,32890.6470190373,27398.874777713376
412,63320.185130255544,1395399.0621256118,4617.042803534322,18790.22731396535
1214,26152.70832083643,596853.7739133632,31250.96404380801,39931.85474617515
348,158773.78119582403,238160.67179373605,11014.955605038102,25077.805711263467
1637,341907.5813737863,512861.3720606795,14459.135574051263,50302.85993461692
1733,23479.820190370814,565264.9398084589,29381.47868687063,11514.009840530423
1995,131293.33902730272,313470.7386489035,480.4678842068901,21393.8584025159
1543,110956.78784104077,349311.53181481664,7214.328084759874,49076.481800179194
541,110009.40316545339,165014.10474818008,27058.471684871885,5804.033477592685
1186,252163.9653403573,378245.94801053597,26908.248591555664,15960.694628274612
1272,53338.664277424716,299882.3781784415,30214.57384781683,77702.29182858262
1513,89709.87938734225,721756.8500117268,2966.1652081806033,15400.735710461264
1651,138925.97832112387,208388.9674816858,19580.638939237353,6995.083205414573
934,52242.83301388305,244382.09168198722,2534.6184103305072,10378.560966655135
1772,52534.6060067642,712607.6629124458,24601.171365990132,51925.31738611761
249,30694.890578714312,942276.848373579,4499.270991657284,74363.92854316666
953,121431.04270658492,182146.5640598774,21419.445133959278,71949.29875194555
356,92718.87917724044,788913.8641636292,9711.559265590384,28810.887449688707
1575,47992.93567964418,1866170.1920506116,68603.13879744161,17100.90590321992
1353,43486.730785717504,1423882.7589784062,13875.965051502624,4841.652382991178
263,6028.731159087901,934608.6558204219,16019.967051413329,3156.0078617271133
1628,521.7897058001985,747557.8615283293,7345.994284135412,1479.0514750472605
1841,60213.76689329132,160836.15377882164,21219.461844453068,428.9687178947314
1434,43233.105838122734,602914.544134658,10927.526753371096,50512.59433887642
1079,127185.23975775852,618472.3689228996,291.70927109005515,39742.41283873711
56,62585.21488576705,313355.7782467874,15007.651343473532,20133.991323117774
333,220797.23411702624,407564.86338452017,28394.62361646304,159922.5851173431
471,17466.491848034235,710557.9679843122,4323.799649797545,73409.18905565006
238,369625.4705001659,1823203.1015037617,3997.2172588041594,25548.642455717472
846,28296.541901056808,209995.1452417568,15020.106713427005,14992.647511143456
1821,82272.58224991045,169706.79653570958,27258.155721497118,3961.823511076748
650,55748.919786814506,552490.9176827271,4594.815749238665,17395.95549342524
