Event_ID,Mean_Loss,Exposure,SD_C,SD_I
1345,18471.517248881464,62437.16418389918,42497.5737547539,4983.376180914222
1936,64966.971405091244,923662.2146047533,8557.202818571186,1479.4240302606565
1756,56200.39013160895,199353.7091856918,12216.911151370809,444.9111405754511
1049,6867.412274661175,442628.2771316598,10305.005255039669,5208.522623654262
164,64029.36030242114,96044.04045363171,7945.8401896621635,1729.1105943043922
1762,154585.7293707933,231878.59405618993,22446.466205809702,7379.752877292507
358,10540.53459296987,2170293.7072479706,12411.608848309554,26685.225550890613
1274,54538.357620017625,629422.5503726266,19392.250281870376,22676.723157284017
1806,25100.745999901217,1471243.1058073693,18521.77620019546,16991.818073995815
458,36928.03629156555,157844.48945292487,2544.1462355313033,34450.71761922884
1977,20296.4465838314,80910.08552522134,12603.473633424197,5964.838181489118
1545,26229.481145873906,314686.3571338154,2672.4440646233675,38939.23219580002
1038,1760.2802750217238,307143.08931278205,10505.254627378437,9172.05077721085
1822,239567.10653925873,359350.6598088881,13577.395612845934,9221.680746049227
1791,58817.751249291316,594598.1925989327,70688.8864196539,9356.129916920094
102,41673.56149208133,202080.7639413055,372.21724798593266,1858.4168991280571
1628,29042.779632876915,92809.6651423788,1148.122566671051,66756.49944107811
664,46510.20349572727,181549.01127884706,961.85962052041,2683.58562926669
1661,28692.406873796856,373198.7442861826,6097.177885579477,7503.450336552602
1396,26768.594981076894,583356.3218512291,20683.94187187122,6923.413244028195
1730,37411.28323748037,295906.2364028061,22299.125334689965,1397.0707630268637
1827,19376.427162910946,335562.24162795756,16026.284004053447,2973.2660542305366
1235,11910.70765161155,67319.0929606729,27262.138448978116,826.1209877339651
1627,48797.77704324903,1107663.4968789467,4678.52580379191,6225.888008544567
12,111000.9930802724,1188539.2763742944,1107.4184322224867,36266.93916171354
308,9951.10470453607,517590.05511824705,718.9496123712266,7464.07184528924
1665,1996.92575563249,8004.912180821901,22937.28194073169,2376.674280573756
677,17006.4045595861,346584.83907239354,15731.406383761241,18676.691297593563
1940,233889.1097552503,446464.6253491266,14392.413325544998,102316.46642622267
271,105880.67693386287,2354151.7654784783,4980.302016283575,4758.970242350965
65,54360.534317998485,2492253.6270653564,5734.594692609686,5902.351533568564
1516,158915.2446194299,877137.3822938125,38073.50867541657,64261.85915168501
1746,35357.412297553914,53036.118446330875,791.1746103231435,3545.2749400113244
1285,245471.14266960305,1378577.5610752641,17832.407747314857,12884.951720156982
586,21084.363375077603,426805.03731328505,4446.38889151634,4931.626152740589
1811,16490.353718494483,726246.7305775199,478.0524792438996,48481.84763046975
1364,60974.65370170411,235298.76441280157,16284.094448157892,71840.18008062619
896,28503.76522697747,173329.4372367307,4822.074204375255,30343.8153962373
310,59068.640668979926,279995.3707230159,15367.97938910402,6804.376076820956
1817,21830.219097167526,71481.88337847513,14757.822686167578,9299.790731691375
1888,57727.24235594905,198771.0388570698,9183.115751941084,4994.554523083585
273,19356.80875146412,877157.180634252,18027.097609033306,39855.408700193824
64,3139.0229148459507,17410.212025947378,10439.709948548894,44278.573424925744
1904,145917.83989574076,218876.75984361116,4053.1759852224905,9770.074822646971
571,128840.2047700593,193260.30715508893,15896.310321848641,19235.960015858927
1804,212011.39143861106,318017.08715791657,10674.027683749771,3257.7527596208915
1855,75638.3412057995,2612153.7564909793,153.7076084492352,10274.689864557116
346,68878.45957152879,103317.68935729319,27829.96244181012,17969.618576372348
15,49123.04191082728,73684.56286624093,9466.480886558984,8762.196660477042
925,8076.541219005286,1109591.9468756851,24356.60033168313,7965.780804067487
1701,12586.6449662458,961874.4852282312,25720.015565626076,17.99084866127725
1071,20504.620223286227,30756.93033492934,7064.725069026181,29360.502106932214
975,132521.84414327226,626913.7158150878,8503.02884449407,39622.88272186075
150,11394.824045819592,479502.73493261175,6449.205786235881,62799.0040280852
