EVENTID,RATE,PERSPVALUE,EXPVALUE,STDDEVC,STDDEVI
0,0.012052536318677164,16838.29296875,250000.0,9267.359209581198,21234.18753512598
1,0.013864306530698988,130250.15625,133000.0,67205.90980368145,166137.45553664997
2,0.006937772420875164,74190.59375,833000.0,56144.792399852806,85254.81116792462
3,0.014021851847449345,27377.501953125,175700.0,15067.86616265028,34524.81862590434
4,0.03565962495970793,47652.40625,250000.0,42618.301389056505,49826.31553645782
5,0.00886985081078943,42162.93359375,163900.0,30457.066242669025,49375.3845573904
6,0.012512217778176264,130643.765625,250000.0,71902.93616972803,164750.3238436784
7,0.012436716437899337,114200.0,114200.0,88952.79946413243,144205.57272337866
8,0.012576990194184904,14755.79296875,100000.0,8121.205285916243,18608.018978493335
9,0.03450617908848833,12001.958984375,150000.0,7844.110301636801,14532.011878989008
10,0.0326296205062495,11229.587890625,250000.0,7725.59196997618,13381.117810544874
11,0.014002411119262337,39717.26953125,185200.0,24591.773036885177,48802.56786531687
12,0.02529447328653513,5718.65673828125,27000.0,3934.2502152905713,6814.321262572063
13,0.012500016185889296,30265.4609375,108900.0,20821.654744924414,36064.16391586667
14,0.01414191422771972,67322.4140625,250000.0,34736.726753450406,85871.48679853145
15,0.03414003878213523,16129.6669921875,250000.0,13316.024809487271,17754.699745983024
16,0.01319263733241608,93057.625,250000.0,51216.500370080226,117351.7448883132
17,0.03936572241313907,54646.52734375,85000.0,37595.03705264306,65116.51428761228
18,0.01377542264227035,7728.83154296875,30500.0,5848.903756393168,8881.450335400506
19,0.03966390755978974,77444.0390625,250000.0,53278.985135622126,92281.9092306045
20,0.013804308864245893,94923.890625,250000.0,58774.10007229782,116637.6659055465
21,0.013505587690231429,51596.328125,250000.0,31946.939096312082,63398.953015646075
22,0.030191398163954223,21777.138671875,6000000.0,19476.553910837327,22770.614714677537
23,0.007053162937606833,3685.9765625,250000.0,2028.6657861447493,4648.257262387705
24,0.013491657669613149,75599.7109375,89300.0,57211.1619752985,86874.07330968081
25,0.04072237081701998,115800.8203125,250000.0,75683.84534006768,140212.01860202441
26,0.012662364692223115,15667.333984375,250000.0,8622.893790905502,19757.531753194588
27,0.010027271549950806,25196.55078125,250000.0,13867.527270469624,31774.496709395695
28,0.00456136259272914,97056.203125,228600.0,70110.09329479517,113658.77429571073
29,0.005103537073137351,3579.3779296875,250000.0,2462.4958333679915,4265.167896820025
30,0.01288508193777138,24073.158203125,250000.0,17389.62903120941,28191.14664180741
31,0.010095939582168123,8580.82421875,250000.0,6198.4949663442785,10048.67212757118
32,0.009360620146335914,8287.6201171875,250000.0,5701.613634549263,9875.484500166773
33,0.03666064966899442,7887.09716796875,87000.0,5426.066845974875,9398.223462493492
34,0.00832628680142447,28023.1328125,2543000.0,21206.906355986885,32202.28839674652
35,0.014273754040887734,116870.0,250000.0,60302.074906388065,149070.71889649483
36,0.010635840850344604,3448.260009765625,10000.0,1897.8327683120428,4348.481158578762
37,0.005775455820907923,3070.118408203125,250000.0,2217.7489031584155,3595.2971987751625
38,0.009620270091064255,6251.4228515625,250000.0,4730.85360911635,7183.7122174374
39,0.013155266855182783,22719.462890625,247500.0,14067.227720339242,27916.52454131781
40,0.008484803716810358,72385.90625,75000.0,39839.32315317221,91283.35699260922
41,0.032025026300138475,8505.2109375,182400.0,7314.136320238385,9135.35333598035
42,0.03848469928178413,28549.197265625,250000.0,25533.197360459297,29851.61554710808
43,0.010680011283855208,9453.2763671875,15000.0,6828.7246637024045,11070.367172609713
44,0.013423363578042564,21529.728515625,51300.0,16292.929828923987,24740.507472974514
45,0.007818032237524445,17547.501953125,100000.0,13279.32295048137,20164.40211441845
46,0.06345509399279518,9158.533203125,250000.0,7875.966961117566,9837.079581526223
47,0.011686630914291438,80941.7578125,250000.0,55685.30210392284,96449.77247881645
48,0.04007029432931032,55786.4921875,250000.0,36460.33107010633,67546.47038964981
49,0.03869272361178152,219301.25,250000.0,150872.1417479768,261318.21495422933
50,0.008962977256689356,9121.130859375,200000.0,5020.033576342937,11502.34192740569
51,0.013000489270777366,11295.384765625,250000.0,6993.772275860631,13879.19633185145
52,0.012208272919114008,33757.34765625,81000.0,18579.167572020615,42570.22087402669
53,0.01142822005652614,10053.40625,30000.0,7262.2380375852645,11773.156120688061
54,0.012134477703944775,15004.9814453125,13229000.0,8258.352152732186,18922.26192774838
55,0.034166317994931125,22139.05078125,142000.0,15230.948330820762,26380.776356437942
56,0.04020112836970455,71013.0546875,250000.0,46411.94279618043,85982.84293635131
57,0.01380483844927403,123382.3671875,250000.0,67906.45102666189,155593.22600274492
58,0.03834855935291347,28074.625,34000.0,19314.43073179607,33453.57534674052
59,0.013977362122304373,87638.84375,150000.0,54263.41186468801,107686.16952336273
60,0.012799597861261523,13077.74609375,100000.0,7197.651859805815,16491.89223674991
61,0.013753308266120009,18605.970703125,73300.0,10240.243133244627,23463.34464642263
