EventID,Rate,ExpectedLoss,MaxExposure,StdDevC,StdDevI
1,0.004370861069626263,303412.7313563832,6364668.399511415,208970.8706254247,382176.9015441358
2,0.009556428757689247,283661.89629572723,12277314.413230486,37841.770879649426,348736.99947060517
3,0.007587945476302646,2367172.4742163094,10708403.410091251,411762.46040838206,30196.21542472083
4,0.00638792635777333,287077.18856360664,1253382.0780741672,189926.198084261,767523.6108485421
5,0.0024041677639819285,317385.1756541948,1212272.5673828416,34206.04099701336,252127.00473377437
6,0.002403950683025824,1424612.253597161,2341597.5052386397,655821.0353317364,135637.57146012568
7,0.0015227525095137954,597364.098865057,3359758.30555242,146113.93504302594,423839.0408382337
8,0.008795585311974417,1499286.3982584598,3937638.776654205,15138.4349018732,89265.36717428564
9,0.00641003510568888,67600.43876192516,8538663.998663634,197145.79644215188,354770.8856666056
10,0.00737265320016441,668593.4921037367,1002890.238155605,58391.2807509723,12156.364294074367
11,0.001185260448662222,34191.52493794983,264660.51406522247,325615.5641049115,548666.5578306484
12,0.00972918866945795,64701.951510631916,3730749.8055973044,340554.2903388377,178355.0358255447
13,0.008491983767203797,2369125.118145484,8959221.431498108,772145.8228274424,303752.0509166168
14,0.002911051996104486,149945.79904644503,1612284.1102990792,139378.650075045,75014.87049153334
15,0.002636424704863906,760186.2810622099,7693793.392785197,121378.07353661531,339099.35831063543
16,0.0026506405886809045,529491.4219185613,2256546.552916746,280058.86533800315,443839.2142039221
17,0.00373818018663584,426704.05559453653,16292343.423528207,28421.188438149158,192287.8024431567
18,0.005722807884690141,2300919.937008827,16952906.32491842,158335.33342416617,288486.02018646005
19,0.004887505167779043,22065.04935500153,2646052.5869083423,158040.72088984828,182821.6009039878
20,0.0036210622617823774,1090018.3808326896,1960174.8932344215,18746.372219254103,673553.5592142027
21,0.006506676052501416,3307554.979468367,4961332.46920255,108251.49742694276,206668.37899643352
22,0.0022554447458683767,821362.8602808521,2063524.0846377788,383852.3953239046,553185.0827744998
23,0.0036293018368169635,2761806.452919119,8369344.573634564,387801.87365407293,484866.3474195473
24,0.004297256589643226,53672.838295824055,13118038.493710315,20902.7670429523,158546.62132384235
25,0.005104629857953324,542648.852297296,8385576.702664353,19020.634450896036,78442.3499520547
26,0.008066583652537124,301318.34655068873,13044483.348949498,60950.855892602376,156304.27184470693
27,0.002797064039425238,1312378.5630731403,3793688.1325640213,415514.35823703604,524985.014052139
28,0.005628109945722505,3979076.1788416826,5968614.268262524,27600.293151681926,77488.45570000539
29,0.006331731119758383,296426.9475836514,10044176.768039193,254590.8513380788,222976.36144474224
30,0.0014180537144799796,1061821.2598300315,3352715.939216953,21331.29759414719,492118.78354200616
31,0.006467903667112946,220768.41513427964,8343907.831509268,195175.1636425062,130844.17203652783
32,0.0025347171131856238,833168.7421479584,2366949.3482512166,88032.2120152546,308342.41269574466
33,0.0015854643368675156,623495.1681723219,935242.7522584829,311097.89403227024,84562.32051953369
34,0.00953996983528,3575741.1309081153,36778636.729256555,53233.81541370589,34717.359560709025
35,0.009690688297671037,937839.4280377333,1406759.1420566,203887.3122355617,474523.8066427113
36,0.008275576133048152,430023.7767529106,33439212.33764084,53754.409092947244,31264.5593383416
37,0.0037415239225603364,121146.44357562017,28383800.378306277,250115.270355534,94981.45787093799
38,0.001879049026057455,163986.86372143627,11842473.817964073,413784.26998940564,579532.9367719752
39,0.007158097238609413,255301.2751408823,8078354.471932698,27118.54293836847,127609.72483137701
40,0.004961372443656412,288971.78556136985,6467196.319119944,402874.1653297674,1084079.8310227406
41,0.0020983441136030096,1901235.4942631104,15080051.75726188,180071.29896859432,1169648.1579248596
42,0.005456592191001432,823763.4851167946,2562759.1064565904,27189.259143908657,93705.5739763877
43,0.0013094966900369656,741058.6447854434,4728845.583385567,111563.13120500349,12552.448663549205
44,0.00918388361870904,121906.5063412979,7244849.772571913,35075.61417294035,366298.34051571245
45,0.0033290198344001526,1967111.1641550874,3972394.0215367572,241026.62135435463,179889.67573044833
46,0.006962700559185839,1283067.6118738607,4182891.6214197073,284482.26700749766,31859.207700594492
47,0.0038053996848046987,70066.6927195163,3006769.0031374446,22364.384749618326,368810.58868607745
48,0.0056806121906002975,1230436.9006024543,6229836.500051957,141100.58089921277,9501.356443134062
49,0.0059203925140895175,784250.3006173839,14257181.442019977,337074.9561508507,612520.4934177258
50,0.0026636900997297434,85258.74546966827,1687918.8832678944,550284.5940636481,44777.18679429287
51,0.009726261649881027,613044.1206067024,20435125.120764382,144111.02061812466,40853.110918447004
52,0.007976195410250032,662998.818414935,8761831.885336801,600266.4794488936,57956.139447883834
53,0.009455490474077705,181251.57762181645,12998627.350576174,153440.12580569644,967667.1170930774
54,0.00905344615384884,2913196.927399496,6092702.2253376795,100237.93797099256,354437.8037043263
55,0.006381099809299767,1896955.8082346849,11339499.977877773,377042.40478717186,484895.7635033064
56,0.009296868115208051,1105704.390260218,1658556.585390327,135842.0348623657,152067.50442858232
57,0.0017964325184672756,620446.2396688857,12793807.691699741,127694.87464744606,122983.26468222133
58,0.0027638457617723067,530629.671756844,795944.507635266,134791.49307780605,80161.55147762664
59,0.0014070456001948426,1052607.3343140585,16548658.016137958,375182.6254889786,196552.03585891548
60,0.003927972976869379,788407.4743037925,36177509.62898573,356688.67879250186,240773.9485210343
61,0.004498095607205339,64296.53002712656,2611767.0115934885,103341.91085019267,299718.20700287446
