TrialID,EventID,Loss
1,43,1000358.03
5,88,166314.11
5,124,106695.66
7,66,19770.48
12,57,791199.44
16,200,235000.18
21,68,714101.24
32,43,593173.27
33,41,208563.55
37,57,76529.91
40,68,5022162.83
41,68,1830524.59
44,144,428259.75
47,144,873428.92
48,68,1354557.53
51,8,144359.16
55,124,83304.4
56,10,479319.08
58,8,74008.09
58,68,7632163.77
71,169,449458.11
72,170,773904.44
81,156,418874.81
83,10,230808.92
83,84,88511.12
86,41,364974.39
87,136,1262201.17
94,169,481278.52
96,136,1149971.68
98,68,1895658.78
126,169,111838.39
130,156,371963.47
131,88,57855.16
132,68,302072.7
137,10,855643.84
137,57,499852.16
150,84,19702.01
153,115,66039.25
162,41,79529.59
177,124,104635.15
179,25,368508.71
179,170,681434.47
182,68,525645.57
184,124,462833.95
185,57,747042.37
196,8,360091.66
205,169,291166.74
208,124,228595.12
215,115,30196.98
221,8,137700.35
225,84,148560.27
227,88,73105.95
233,115,35480.96
241,181,20942.04
243,181,294295.01
244,41,1108720.8
244,170,1222018.84
245,84,193798.32
246,57,298986.82
247,67,516326.37
251,84,117591.97
259,57,582162.45
262,84,139819.12
272,57,49938.5
278,156,1978130.15
280,57,54734.39
280,170,837162.44
281,84,203789.19
281,169,1118834.54
292,84,38822.64
301,84,79726.98
304,156,1859079.62
305,115,126313.25
307,160,2259470.46
308,84,77693.35
310,169,360421.97
313,181,119200.18
322,10,609488.68
324,68,427730.66
328,8,128282.58
331,66,86629.63
332,136,1280000.11
339,136,2079896.97
341,115,515685.23
344,10,1415833.7
345,68,1535895.44
346,8,165425.95
346,156,406205.5
350,115,116644.08
354,105,247463.69
354,115,117906.97
357,124,228838.49
358,156,504784.31
366,41,143622.22
373,156,6795694.71
378,8,112552.29
384,88,210711.53
387,55,294192.19
388,115,39031.06
392,41,1029398.73
395,170,842226.3
397,8,208867.81
397,88,46367.78
399,41,754408.68
399,156,262841.48
403,88,87262.81
422,136,353632.97
433,57,333681.1
436,41,1565870.34
438,144,423608.22
439,124,180443.01
439,156,810803.65
448,170,1872698.08
450,10,234266.33
450,115,17941.6
462,8,143470.66
464,115,22037.33
466,84,217395.98
467,115,438627.71
467,124,461903.9
468,136,1237744.39
470,66,49667.6
473,169,1438575.15
482,136,252203.27
488,84,38188.57
488,115,130036.06
490,66,100719.57
490,129,1107378.04
492,181,45990.35
493,136,914126.68
504,84,61621.77
508,57,205909.48
509,66,94243.6
513,55,1755954.99
515,169,606389.42
520,115,51080.98
523,68,543130.18
524,156,3491134.24
531,67,227045.16
532,10,2095634.04
532,200,167137.7
535,41,74686.14
538,57,114867.54
545,181,57202.75
549,67,465232.55
554,88,143605.16
558,68,75302.03
568,181,95181.79
572,84,58031.81
573,88,15938.81
577,156,675337.56
588,156,3234681.89
593,124,171173.43
595,170,1743086.11
599,57,374548.12
599,84,56990.18
605,156,201915.65
610,181,82807.87
615,84,106324.83
626,41,841741.11
626,84,149462.28
630,115,57292.75
632,66,35258.49
633,8,259541.75
640,25,340328.87
644,88,70750.04
648,124,152082.18
648,169,727181.1
649,88,273372.23
652,66,18340.48
664,88,31789.12
668,136,5150181.91
670,88,16583.04
671,57,298696.2
676,156,327274.07
678,88,54152.07
679,115,24835.55
679,169,5880070.13
684,41,2424599.05
686,57,1195639.52
694,57,458909.73
695,8,262191.02
697,84,35050.33
697,144,735564.8
701,156,1757645.57
702,170,1484087.38
705,25,928790.27
707,10,77346.92
707,124,61718.38
709,129,1777156.76
711,67,935224.71
717,68,311444.75
726,88,148254.15
730,169,585882.8
731,57,356075.47
732,129,772495.62
734,41,452936.08
