TrialID,EventID,Loss
1,44,28196.58
2,9,663185.78
2,191,312968.64
2,195,31825.12
4,89,1774252.46
6,121,736959.46
7,15,179256.55
11,119,3223970.67
11,195,512081.65
12,57,3046017.0
13,150,939516.86
15,167,232247.43
16,120,384652.08
16,200,1073047.23
17,33,157264.65
18,29,499792.79
20,141,51980.3
21,68,3297366.91
23,100,135691.06
24,9,903702.28
24,89,801759.07
25,83,695827.53
25,155,514139.3
26,119,141435.59
30,108,739401.75
31,33,356814.51
31,49,733867.12
33,41,14511.51
34,140,576787.86
34,142,829457.34
36,4,79196.31
36,119,860470.21
37,57,1011142.85
39,61,4410570.76
40,68,883848.42
41,3,37495.37
41,68,1344303.93
41,120,748243.42
42,141,117308.72
43,99,1979900.09
44,144,149257.63
45,103,332843.94
45,104,23213.35
47,4,1120362.49
47,144,171195.14
47,173,14784.71
48,68,3418007.34
49,4,806747.98
50,42,350583.81
53,151,107740.23
55,146,36049.57
56,100,1252.96
56,120,690959.37
58,46,762742.2
58,68,5380578.75
58,176,1146192.15
59,83,536338.34
60,179,1757957.14
63,83,1329129.22
63,177,239426.49
63,179,957450.12
64,99,1400344.6
68,13,1044072.52
68,89,1487695.89
68,151,149854.87
68,191,6252809.63
69,27,662543.45
69,137,10644.39
72,170,1144466.61
76,61,1952234.99
77,195,196035.69
82,21,425545.92
83,3,54522.9
83,61,537925.67
83,193,738219.81
84,89,328794.31
86,41,98233.66
86,108,1073193.68
86,195,162261.18
87,79,255116.53
89,48,323019.56
89,83,1657565.85
90,141,96093.65
97,49,716749.31
98,68,1805154.74
98,190,4452840.59
99,99,867153.09
99,190,280141.75
104,3,57511.92
104,119,392174.52
106,135,624601.47
107,33,177613.57
109,173,383113.65
109,179,840277.04
114,3,116934.45
115,150,313691.6
116,167,284296.83
120,69,76851.34
120,79,85071.36
121,24,1463983.82
121,141,159319.01
122,61,1149166.24
123,24,62207.01
123,179,1428205.33
124,61,1161931.98
125,120,2505597.14
126,44,99894.63
126,48,809266.75
128,61,5209511.2
128,89,2292633.73
130,108,2675970.77
131,104,331260.7
132,68,332843.84
132,155,872525.75
133,48,937518.24
133,173,135413.82
133,189,475766.03
135,13,317211.94
137,57,1374961.32
139,173,23700.1
140,176,241170.01
143,118,712222.22
147,121,334602.68
147,146,76842.33
155,150,4029439.93
157,155,290390.67
159,167,215959.72
162,41,49524.05
162,99,2010543.5
162,193,240794.53
163,3,121623.09
163,60,2434489.97
163,191,2131449.72
164,176,3399377.84
166,9,352358.78
167,179,781949.03
169,173,372634.18
170,120,366680.26
174,103,700476.71
174,137,33154.11
175,141,451348.13
177,48,952939.23
177,87,24689.43
179,170,1658830.57
182,68,690182.42
184,121,3174754.02
185,57,2180181.11
186,114,1033730.67
187,119,511686.77
191,3,64247.69
191,33,163324.87
194,61,1500351.15
194,155,56516.99
196,189,418915.07
197,135,36195.02
198,38,327933.46
198,119,1091916.45
198,137,26249.06
200,167,63346.29
202,33,148645.77
202,195,512623.96
204,99,2383990.1
206,79,584922.83
207,3,23473.25
209,135,72473.45
210,61,765938.62
210,108,654381.5
211,183,852303.08
213,3,37420.14
213,60,627440.8
214,4,378189.6
214,61,728800.99
215,177,204189.52
216,108,678784.22
217,121,181119.25
217,173,55870.09
217,176,849762.42
218,99,662078.31
218,155,445152.95
220,69,171491.76
220,103,405120.64
221,24,2683208.35
221,179,1858419.48
222,90,16010.76
223,140,98196.06
225,75,247873.38
230,69,146321.95
231,83,498633.02
232,176,687209.17
233,194,770406.15
236,17,387054.96
237,140,556220.73
241,89,1229428.59
243,87,55058.69
244,41,719153.08
244,170,2565746.89
245,150,88346.92
246,24,861697.38
246,57,489341.11
247,13,391412.83
247,67,579192.21
247,150,1695464.49
250,89,236655.27
254,69,57270.14
257,48,496570.81
258,179,367836.71
259,57,484144.83
260,42,769212.16
260,142,63869.5
265,103,2405960.53
266,89,370550.93
271,140,205971.95
272,57,227930.35
273,167,204315.65
275,137,140601.26
276,90,14317.7
276,141,40276.22
278,167,612702.88
280,27,668298.95
280,57,183523.67
280,120,1805635.03
280,170,1306374.27
281,150,447425.12
283,142,115824.61
283,179,1593830.06
284,42,298653.8
285,189,370949.45
287,24,355927.35
288,4,89004.5
288,60,1957068.33
289,24,580356.13
292,190,376130.98
296,61,1334800.68
296,99,1802632.14
296,100,23342.92
297,24,400757.28
297,167,219511.93
303,177,57865.51
306,190,2721822.76
310,13,468040.25
311,104,123555.21
312,27,1562904.22
312,60,650308.01
312,103,1957958.92
312,190,94909.54
316,60,3423890.94
317,75,151003.8
318,4,587942.28
318,44,36277.43
319,83,884822.52
322,87,27460.46
323,189,728755.25
324,24,1058010.75
324,68,925459.65
324,155,195388.55
332,155,307422.51
333,49,300958.74
334,193,848050.03
335,146,107569.44
336,27,629762.68
336,173,60941.37
336,177,365879.96
337,17,1353564.65
337,100,35405.46
338,83,811075.23
340,191,363815.13
342,177,148627.71
343,83,345080.67
345,68,1381055.85
345,79,19903.81
346,151,106553.47
347,9,2860919.65
347,141,91093.39
349,189,1090279.75
349,193,296795.91
350,189,747883.69
351,140,167213.96
353,42,492300.49
354,105,32603.96
356,38,35979.77
359,173,7431.64
361,189,576402.36
362,119,382630.41
364,48,279662.28
365,61,1135810.08
366,41,399697.34
366,151,98821.48
368,177,478220.86
370,177,1719614.52
371,140,68102.63
372,3,267790.29
374,3,102341.31
375,3,62702.94
375,27,437709.06
377,121,618537.0
380,38,86356.83
380,189,861125.32
381,114,2177673.16
382,79,45008.14
383,17,1025030.48
384,167,90835.33
387,55,573058.16
388,135,209432.49
389,3,128875.89
392,41,17910.28
392,194,1528937.66
393,137,25230.25
393,179,2420567.17
395,77,3247624.69
395,170,1726711.92
396,104,485028.36
397,83,934824.17
399,41,271205.72
400,49,108566.63
400,61,1938620.06
400,155,435591.94
401,173,124898.83
403,60,1374747.0
403,104,278152.56
404,4,26915.86
404,87,298848.09
404,99,980106.74
406,121,579502.1
407,72,147705.69
408,120,1201237.83
409,89,835062.67
409,189,167098.72
412,77,164341.1
412,137,50126.64
412,167,103100.78
415,79,28595.7
415,191,848841.39
416,167,356630.6
417,79,212943.49
417,103,298333.26
418,174,8730473.72
418,189,403644.37
425,104,1429930.94
425,121,1226352.18
425,140,325859.65
429,61,1442102.15
429,108,628627.12
432,87,68916.43
432,99,766710.98
433,57,3063777.7
435,140,218932.13
436,41,2094697.63
436,194,373017.59
438,144,133315.54
439,89,256746.68
439,167,229666.32
440,48,204799.71
442,49,279501.16
442,60,4588510.1
448,155,249998.18
448,170,1620581.51
449,173,45740.34
453,83,555911.36
454,27,409997.45
454,179,981126.14
455,189,126660.85
457,195,49259.08
459,13,312336.91
459,167,165099.57
459,193,1067519.08
461,151,476789.07
461,195,1127939.13
462,79,369113.22
462,103,9395877.63
462,118,74127.24
464,195,359346.52
465,191,660714.06
466,121,571370.56
466,155,929800.14
468,44,117031.53
468,103,1821510.6
470,38,920733.49
471,155,266781.82
471,176,638757.03
472,100,71995.15
474,119,40960.85
476,15,1326813.78
479,120,725712.35
479,174,198406.73
479,195,286976.28
480,60,124912.09
483,83,857726.66
483,103,1327352.19
485,99,303870.05
486,177,125370.6
490,48,272114.99
490,129,560241.44
496,173,42098.38
497,116,231932.64
498,29,1834418.35
499,17,1674329.85
500,48,255837.77
500,77,270057.91
501,49,1076688.51
501,83,176729.63
501,151,780918.73
502,137,71649.27
502,193,51970.33
504,137,73446.86
505,83,182723.54
506,119,616363.72
506,173,136854.27
506,177,883272.08
507,83,746378.55
507,142,88760.46
508,57,502113.54
508,137,64630.01
509,191,1271053.42
513,55,568959.92
514,60,574710.18
514,72,120349.87
519,3,121498.06
521,38,19433.96
522,29,634233.48
523,68,783870.62
525,13,497070.12
525,114,1046166.78
530,60,1055635.41
530,177,827481.43
531,67,168608.32
531,155,139115.6
531,179,3299427.02
532,135,181436.83
532,200,435782.25
533,195,1701493.19
534,83,410828.37
534,191,1095930.76
535,41,87408.59
535,42,1457750.57
535,104,910797.63
535,114,1387573.15
536,24,505389.7
536,79,55714.64
536,179,598986.28
537,69,36694.86
538,57,415113.93
539,69,144860.0
541,17,2298801.65
542,99,523005.66
544,195,429919.11
545,4,156793.84
545,146,136769.14
548,9,2644432.95
549,4,542233.8
549,67,321220.97
549,179,301559.08
552,48,512005.93
552,189,331488.88
553,87,34244.87
554,79,300341.06
558,68,400695.06
558,75,186067.79
560,189,897241.09
564,89,292051.62
564,108,2342291.13
565,60,301565.43
565,193,109679.73
566,83,697423.47
566,137,54504.79
567,60,479300.52
567,195,2230309.66
569,104,759193.73
570,121,704986.37
571,118,673657.89
572,108,2377539.26
573,87,972981.26
573,167,455055.11
574,72,529585.1
574,174,4125932.39
579,75,346342.37
579,83,972437.58
579,103,1652233.56
582,190,266048.37
585,119,1131198.22
590,179,623734.35
592,60,1623673.01
592,72,1272192.21
594,24,471518.43
595,170,1599551.99
597,103,275084.88
597,141,53880.43
597,173,116615.64
598,24,1497844.51
598,177,201397.67
599,57,756073.06
599,121,1801859.93
600,103,1348245.54
601,103,1893885.94
604,72,317269.3
604,114,778845.57
611,24,121767.62
613,17,790982.91
615,79,194585.34
615,155,1554273.17
617,191,2102478.76
618,150,383593.06
620,24,1126056.62
620,60,998383.91
620,77,87244.87
620,99,1714236.9
621,176,2184905.97
622,33,241419.01
622,49,30857.1
625,191,5442638.84
626,41,3588637.87
628,193,1224327.15
629,119,600044.91
629,135,427664.08
630,121,6310535.46
636,191,1724736.33
637,3,29454.97
638,33,354765.14
638,49,387192.43
641,3,154103.95
641,49,221745.54
641,60,1507349.64
647,108,1249748.25
650,83,341711.33
652,176,1617519.06
654,48,223519.27
657,17,885336.78
657,189,496936.27
659,176,2916116.43
660,72,238590.73
661,24,786542.87
662,29,215048.32
663,89,20402.63
669,108,634075.81
669,118,659022.58
671,9,1914546.01
671,57,217219.56
672,103,2722976.45
672,140,102718.02
674,15,1251347.04
674,108,894823.55
676,9,343905.79
677,29,967159.44
680,48,703585.02
681,60,7445321.78
