TrialID,EventID,Loss
2,191,531110.0
3,153,546273.12
4,22,626839.1
5,82,86599.19
5,88,1739686.96
12,113,266606.62
13,12,1021611.81
13,150,95441.76
14,113,996149.16
16,120,57065.13
20,111,635022.26
22,182,248416.3
25,112,165346.79
31,49,1367733.68
33,122,63350.57
36,111,2988347.69
39,61,7535569.17
41,120,289674.16
43,99,1148062.41
45,104,179575.51
48,153,625320.03
50,85,1714306.34
56,120,599314.37
57,112,75485.31
59,122,658793.08
63,177,142575.9
64,99,1973592.99
65,82,45895.13
65,122,391074.79
68,112,936251.12
68,191,1690390.22
69,40,643880.61
74,40,740935.48
76,61,1046839.85
81,82,746708.35
83,61,220695.43
83,199,2565670.91
87,136,2425219.6
96,136,1845951.11
97,49,44821.57
99,99,461743.29
102,164,694443.02
103,112,1330031.81
104,82,10640.72
106,40,585318.6
107,113,310909.91
108,12,249745.52
115,145,857224.28
115,150,368246.12
120,69,1385076.27
122,61,1728837.57
124,61,2192508.67
125,120,924665.09
125,147,253855.45
128,61,1336768.11
128,82,1243720.58
131,88,209040.01
131,104,1012801.62
142,164,754726.16
144,12,447496.71
146,113,1060892.45
152,56,333749.05
155,150,526163.9
157,12,159631.11
161,40,597835.22
162,99,1911366.0
162,175,303310.5
163,60,117540.88
163,85,711631.12
163,191,1201414.95
167,56,523273.3
170,120,344360.66
173,145,723066.48
175,197,213105.18
176,139,28879.65
185,56,1873983.83
194,61,520253.72
195,12,984489.33
195,188,1319656.54
197,82,1083511.72
198,38,782234.25
204,99,1178531.9
205,164,142837.8
207,112,100771.95
210,61,1273079.48
211,183,6379690.75
213,60,494051.12
213,153,405074.71
214,61,594157.15
215,177,222819.23
217,175,73779.36
218,99,2520594.77
220,40,2296974.84
220,69,2688780.34
227,88,171900.62
228,164,299547.41
228,182,1228176.0
230,69,1362660.26
236,82,146589.07
238,145,614340.42
242,109,512198.69
242,112,1255066.72
245,150,757767.23
247,67,73896.16
247,150,107700.69
249,122,139545.18
251,131,603246.7
252,18,1406961.44
253,109,771052.8
254,18,495928.63
254,69,793383.38
254,122,205388.8
254,131,314417.44
260,112,605919.33
261,147,426369.23
267,109,1757528.61
270,145,6026490.53
275,113,594339.15
277,111,647849.5
279,164,1838214.18
280,109,1653372.48
280,120,152408.71
281,150,63666.2
282,147,1791174.45
283,85,1463988.83
283,111,1238100.33
285,85,361896.46
287,139,92601.08
288,60,128451.25
293,111,518932.73
296,61,2866849.37
296,99,656602.8
297,188,2560213.73
299,131,496037.84
303,177,25139.51
305,111,721305.87
307,82,331770.05
307,145,2285633.34
308,147,410148.68
311,104,705671.55
312,60,52795.14
312,111,170179.27
316,60,221492.01
317,111,943596.45
318,18,1085014.39
319,164,106756.31
323,22,228166.29
324,12,309821.03
329,122,3940871.3
332,136,1400311.02
333,49,194242.79
333,153,525701.37
336,177,120568.75
337,113,199909.22
339,136,7303981.37
340,191,1606029.26
341,18,47647.96
341,22,148372.88
342,177,57219.59
343,145,564663.01
344,199,513888.06
346,56,896497.17
347,51,392140.37
349,7,148930.75
351,122,468866.57
351,175,259568.83
354,12,336033.65
354,105,131062.88
356,38,501451.69
365,61,384345.3
368,177,202696.23
370,177,280087.44
371,18,697019.53
373,164,638171.52
375,147,272965.54
375,175,318843.97
377,22,123000.85
377,73,467347.96
377,86,791534.04
379,153,29217.62
380,38,394026.28
384,88,134097.51
385,197,762198.61
395,82,918833.88
395,164,229924.79
396,104,934833.5
397,88,718650.61
400,49,361603.01
400,61,5742282.98
403,60,1704720.47
403,88,494924.98
403,104,3820699.24
404,99,1365973.13
406,122,367183.86
406,145,1130040.06
