TrialID,EventID,Loss
1,43,2194421.13
1,44,204988.88
2,9,760725.52
5,82,125270.55
8,80,107112.88
9,92,311679.82
10,74,365719.43
12,143,740405.54
13,12,99146.51
13,96,1078833.62
13,150,5474356.79
17,33,229375.09
19,97,93653.08
20,111,1271440.63
20,141,16609.42
21,95,49262.05
23,92,498548.68
24,9,394387.95
25,155,2505062.76
28,92,144547.78
29,65,2908916.6
30,92,243753.1
31,33,652257.25
32,43,880695.78
33,58,225760.05
33,122,2120066.94
35,96,661035.49
36,111,651714.11
41,92,198148.67
42,141,1154.16
44,144,610156.41
46,63,164864.61
47,144,1852249.11
55,146,258776.16
58,46,568988.67
59,122,452162.89
61,185,292766.79
65,65,139676.86
65,82,404334.89
65,122,496538.34
69,27,484286.39
69,40,394671.93
69,137,25338.98
70,80,690923.73
70,96,1188525.71
74,40,603810.14
81,82,375990.42
81,171,333752.55
82,133,1322501.49
83,84,353520.44
83,199,335207.77
85,95,133127.69
87,79,11062.84
90,141,4585.15
91,96,242098.13
91,107,221660.26
93,65,1563769.14
99,143,139229.64
102,133,1320508.22
103,63,133332.07
104,82,1015381.66
106,40,1442172.24
106,130,660246.6
107,33,211944.14
108,12,1164702.05
109,107,333824.37
111,92,309892.51
115,107,62023.73
115,150,651446.06
117,101,289876.63
120,69,1331780.92
120,79,213347.32
120,101,4999558.71
121,141,27081.95
123,92,67836.67
126,44,335118.49
128,82,188123.08
130,101,146714.52
132,155,165012.08
133,65,724526.39
136,97,967441.72
141,92,1142515.71
142,107,743168.84
143,97,149268.85
143,118,38530.28
144,12,280401.07
145,65,811568.06
146,64,324592.29
147,146,892156.74
148,80,691457.58
150,84,421949.19
150,95,43417.53
153,130,482369.06
155,143,224056.24
155,150,456150.19
157,12,278090.29
157,155,977275.72
161,40,504313.12
166,9,675537.72
167,74,353173.24
167,133,284621.26
174,137,192135.71
175,65,165883.77
175,141,46894.05
177,64,480339.99
180,143,866317.02
185,180,842043.65
188,96,450417.94
191,33,299440.11
194,155,6698877.91
195,12,855183.15
195,188,73590.74
197,82,137128.32
197,96,630544.76
198,137,44100.68
202,33,178488.4
204,65,59212.37
206,79,249339.52
207,63,89140.6
215,185,1013687.03
218,155,1018849.54
219,96,537427.86
220,40,92763.16
220,64,2525532.78
220,69,2345079.34
220,97,41751.57
225,84,1839367.08
227,96,868830.11
230,69,579639.28
234,92,942194.13
236,17,91359.22
236,82,208762.81
237,133,1236798.2
241,143,374124.76
241,181,662597.15
243,181,758094.14
245,84,1333183.93
245,150,530257.78
247,150,100826.29
248,185,711811.83
249,122,301794.23
251,84,1640128.19
252,18,88514.04
252,96,145196.69
254,18,586148.1
254,69,512541.56
254,122,217230.11
259,185,205741.71
262,84,876885.82
263,101,873991.0
264,58,169579.34
265,92,114215.47
270,97,570915.37
272,96,571718.1
273,58,134218.44
273,80,378926.71
275,137,57472.61
276,141,7781.3
277,111,3006581.85
280,27,1659264.05
281,84,1905140.2
281,150,572951.42
282,92,157273.35
283,111,6201449.77
289,130,172821.64
290,107,261959.88
291,58,188135.74
292,84,1207864.18
293,111,147174.45
296,171,4038736.7
297,74,244851.41
297,188,387244.18
301,84,690496.62
301,96,54584.46
305,111,2666425.68
307,82,1581465.58
308,84,445863.34
312,27,841909.96
312,111,667220.76
313,96,72167.79
313,181,884215.6
314,107,724686.27
316,130,490366.84
317,111,398722.51
317,143,49717.42
318,18,1626844.03
318,44,328778.6
323,143,540489.36
324,12,123570.85
324,155,505935.23
326,185,393914.97
329,122,1513991.46
332,155,651254.44
335,146,200873.08
336,27,476316.82
337,17,656374.61
337,127,100905.85
341,18,342297.31
344,199,29729.98
345,79,839385.57
347,9,2432761.92
347,141,29261.35
348,133,825348.17
351,122,145485.95
352,185,330805.78
354,12,1130426.39
356,65,166511.82
364,74,202471.34
369,97,170303.49
371,18,166011.46
371,107,330709.31
372,96,1696535.53
373,101,647841.74
375,27,371332.19
377,86,420502.25
378,63,69431.39
379,65,625416.54
380,101,873087.47
382,79,128831.48
383,17,143613.24
388,97,21780.76
391,198,159313.71
393,137,39731.7
395,82,2190002.46
400,80,1280752.41
400,155,1739760.29
406,101,2525741.92
406,122,782916.63
407,72,253483.73
412,107,1539283.25
412,137,39515.63
415,79,195579.28
416,171,1216248.94
416,199,266444.31
417,79,15894.93
418,174,433375.81
422,107,618928.01
425,82,336827.39
426,111,822042.52
431,96,448932.44
433,80,461560.45
435,86,399846.75
436,12,239240.1
438,144,396617.84
440,111,6201449.77
441,65,1229686.26
443,18,1200849.22
448,155,832209.06
451,185,4381243.72
453,95,104848.87
454,27,395637.9
455,198,1065503.54
457,199,34491.29
462,79,41173.74
462,118,60624.62
465,154,229729.76
466,84,904528.85
466,155,3871630.33
468,44,707839.18
470,63,515765.94
470,101,1629952.24
471,155,497187.89
474,97,1499634.78
477,133,2034318.73
479,65,320868.86
479,174,264131.38
486,127,194925.34
488,84,642999.1
489,166,28952.56
492,181,758680.14
493,92,69051.64
