TrialID,EventID,Loss
1,43,127842.95
2,191,274472.83
5,124,168997.79
6,121,201621.73
11,119,47591.67
12,57,571135.04
16,120,1192633.62
17,157,1094706.58
18,29,664048.71
20,117,734032.22
25,83,707441.91
25,112,453296.44
26,119,95323.91
28,47,150487.32
29,65,526044.32
30,108,245373.42
30,186,289678.45
31,49,98086.3
32,43,492453.59
33,122,466272.92
36,4,14542.14
36,119,557928.13
37,31,702996.65
37,57,906799.74
38,36,188931.64
39,54,741242.96
39,61,3192354.82
40,94,630203.48
41,120,620409.68
44,144,5077409.14
45,104,1806340.95
47,4,222281.49
47,144,963750.75
49,4,930281.79
50,36,50619.6
55,124,76141.02
55,146,343489.05
56,10,1733736.97
56,120,421749.27
57,112,164648.93
58,176,2357537.36
59,83,728754.04
59,122,793736.58
63,83,758291.12
65,65,1294507.86
65,122,183143.45
65,178,344100.3
68,112,207846.57
68,191,3270702.91
69,27,1110454.61
72,20,712986.24
72,47,164711.87
76,5,63267.27
76,61,2280824.81
83,10,764658.07
83,61,976331.96
83,84,502460.7
86,108,329439.63
89,5,47987.65
89,48,297772.93
89,83,1132819.17
93,65,1455910.31
97,49,67010.54
97,54,756715.7
98,190,595374.17
99,190,44155.52
101,31,4569270.38
103,112,206432.32
104,119,234576.85
120,52,624852.02
122,61,862687.65
122,178,465769.35
123,186,122081.91
124,31,121856.03
124,61,1261437.06
125,120,190501.69
126,48,1380878.73
128,61,1693593.08
130,108,257135.82
131,104,1990489.71
133,31,2112776.54
133,48,202183.07
133,65,1739444.42
133,189,609282.38
137,10,565179.95
137,57,121979.39
140,176,2076414.94
143,118,51844.54
145,65,201896.09
146,64,1094383.71
146,178,290262.37
147,121,1158637.01
147,146,472155.95
150,84,314039.44
154,52,713328.86
155,157,141175.2
158,52,1290501.88
161,148,318816.03
163,191,617897.57
164,176,6518300.67
170,120,52202.48
170,148,88728.68
171,52,601344.78
175,65,437239.81
175,197,265767.91
177,48,792536.22
177,64,668303.44
177,87,45478.17
177,124,196779.93
184,121,309548.78
184,124,353185.27
185,57,243702.71
185,180,907219.72
186,117,561589.12
187,20,456133.36
187,119,817223.88
194,61,2241925.94
194,117,549556.21
195,20,766779.2
195,52,362725.73
195,188,1910331.94
196,189,446418.66
198,119,96331.84
198,157,586555.06
199,31,255478.94
200,52,369233.08
201,148,181843.26
204,65,947252.71
207,112,14436.89
208,124,120915.97
210,52,166173.04
210,61,5084762.24
210,108,262170.44
214,4,518979.11
214,61,1343536.43
216,108,134119.74
217,121,509201.38
217,176,667465.78
220,64,1897325.01
223,178,431868.48
224,20,156231.43
225,84,1450548.87
229,31,809506.5
231,83,800015.31
232,176,1025121.58
235,52,1540085.53
239,178,96674.15
242,112,338711.19
243,87,57127.26
245,84,1478205.36
246,57,628769.28
247,67,1493319.34
249,122,312444.49
251,84,690788.26
254,54,255384.69
254,122,366165.37
257,48,362285.33
257,148,283729.73
259,57,1605466.81
260,112,36882.44
262,84,563000.72
262,117,498836.81
265,31,2805004.91
265,52,1307475.3
272,57,2374311.65
276,94,146199.44
280,27,1272515.55
280,57,655210.78
280,120,2002091.27
281,84,1277836.42
285,189,132046.65
286,5,18450.78
288,4,185502.86
290,178,653071.12
292,84,483812.78
292,190,1948658.66
295,31,187121.6
296,61,1114759.96
297,188,1650557.67
299,36,901383.18
301,84,580278.74
306,190,39171.98
307,160,1213979.89
308,84,493558.85
308,157,1898391.32
311,104,576876.65
312,27,1939517.33
312,190,265889.51
318,4,1342435.55
319,83,503580.97
322,10,1707537.15
322,87,39894.87
323,189,2156514.83
329,20,537335.41
329,122,523849.22
333,49,101614.8
335,146,1372944.6
335,148,401160.32
336,27,1013627.07
337,127,60485.26
338,83,1547148.88
340,191,996888.69
343,83,256501.99
344,10,1427322.94
349,7,452636.71
349,189,418063.55
350,189,860419.0
351,122,299750.47
355,186,1313250.34
356,65,742559.74
357,124,47414.92
358,54,237616.64
361,189,814956.15
362,119,663323.08
364,48,80155.43
364,52,349428.13
365,61,1029999.18
375,27,2392586.92
377,73,290596.42
377,121,453672.73
379,65,671156.24
380,189,419087.83
385,197,552128.21
389,39,128797.47
393,52,427763.91
393,178,91116.44
395,77,483375.23
396,104,4113247.31
397,83,764538.76
400,49,75069.94
400,61,1021878.25
403,104,4745634.36
404,4,426450.07
404,87,131451.78
406,121,265352.47
406,122,221606.59
407,72,1045446.76
408,120,1248230.82
409,5,20599.21
409,189,219315.12
411,112,670134.58
412,36,1001204.89
412,77,75963.69
413,117,301611.9
415,191,720375.97
416,52,294718.57
416,157,508643.22
418,174,3290299.25
418,189,711700.33
423,7,1350245.93
424,148,71880.57
425,104,643727.73
425,121,394926.66
427,52,122391.74
427,54,272367.12
429,61,208911.56
429,108,516737.79
432,87,118880.6
433,57,2443026.16
434,31,3403514.3
434,148,261508.06
437,36,170991.73
438,47,466826.46
438,144,238241.84
439,124,127378.42
440,48,111149.83
441,65,533895.4
441,197,259181.82
442,49,53469.6
450,10,1795728.21
453,83,389119.6
454,27,536909.57
454,31,349976.48
455,189,1021804.62
456,52,1650134.46
462,118,113950.91
465,191,1808653.64
466,84,1117829.95
466,121,600805.87
467,124,209193.91
469,148,140682.45
471,176,477036.53
474,119,153054.78
477,52,50545.0
479,65,523114.09
479,120,442073.62
479,174,233308.47
481,31,713034.89
481,36,47718.28
481,178,353868.43
482,117,281666.88
483,83,501339.88
485,47,250199.75
486,127,1259600.5
488,84,650408.08
489,166,49312.27
490,5,6773.54
490,48,178480.07
490,129,2390874.74
498,29,1245263.91
498,178,93493.97
499,47,792491.95
500,48,1653373.55
500,77,208839.34
501,49,83398.64
501,83,786350.95
504,84,817895.92
505,83,1119035.98
506,119,1959565.66
507,36,107055.02
507,83,296219.68
508,57,698615.29
509,191,1154114.05
510,117,610061.77
514,72,319551.4
521,148,108025.62
522,29,601431.93
522,65,1562650.97
527,52,2913592.08
531,67,527212.22
532,10,668123.1
534,83,1569923.87
534,191,238516.43
535,104,2451118.09
538,57,1041276.93
539,65,886036.27
545,4,79840.08
545,146,135861.98
549,4,1165985.35
549,67,800743.45
552,48,333416.02
552,189,1317155.7
553,87,18003.97
559,31,347885.97
560,189,1028046.0
564,108,689312.25
564,148,127921.91
566,83,478624.12
567,36,113257.34
567,73,44247.46
569,104,755194.77
570,54,1724808.86
570,121,1536648.79
571,20,345421.09
571,118,51791.89
572,84,336797.16
572,108,167285.29
573,87,145944.0
573,122,660814.18
574,72,1388379.14
574,174,648370.98
579,7,145047.52
579,83,4309224.21
579,180,648210.66
582,190,916464.23
585,47,572447.54
585,119,853208.68
591,31,461688.32
592,54,354849.15
592,72,616292.42
593,65,1144264.93
593,124,157369.27
595,20,474271.06
597,178,176750.74
599,57,396761.75
599,84,254068.43
599,121,29929.06
602,47,468956.61
604,72,747019.04
607,178,316923.34
608,148,219163.71
611,65,1750325.12
615,84,1352334.26
617,191,1791062.94
618,5,111450.55
620,77,91890.49
621,176,712127.17
622,49,8303.54
622,188,1572307.89
625,65,1092993.14
625,191,1998394.8
626,84,794636.2
628,52,91994.27
628,157,2299172.91
629,119,1115089.66
630,121,646361.74
636,191,276980.27
638,49,95713.13
641,49,346967.11
643,36,519305.27
644,161,592020.91
645,166,64376.42
647,108,272757.83
647,117,881223.53
648,124,109132.13
650,83,2235167.46
652,31,3669381.04
652,176,3164769.16
654,48,892911.92
656,52,3228490.09
657,189,2032394.32
659,176,814492.44
660,72,199406.58
662,29,836925.77
663,73,113616.76
664,5,26206.31
667,31,1195735.01
667,73,93425.35
669,108,297790.15
669,117,378851.97
669,118,101592.1
670,52,102129.77
671,57,692528.13
671,73,106100.04
674,108,136845.03
677,29,1632733.71
680,48,986160.01
684,20,856699.73
684,48,1448880.24
686,57,570070.31
687,148,620506.39
687,191,1654042.11
688,83,644931.49
688,119,154929.04
693,119,282188.21
694,57,378146.76
695,146,749041.26
697,84,454299.47
697,144,578883.28
699,65,740688.15
699,157,139473.93
700,119,174176.83
701,197,288787.94
704,112,129499.95
706,108,1960188.19
707,10,285414.08
707,124,178558.02
708,29,403052.44
709,129,975802.41
711,67,308819.3
712,36,460984.5
714,176,1257377.65
715,52,111013.16
718,77,96962.23
720,146,79137.33
722,31,617071.67
724,65,469407.11
724,186,129264.23
727,87,60695.24
728,148,161746.41
731,57,171169.21
732,129,2175862.47
734,157,446602.84
735,57,1106371.36
736,48,408704.68
736,49,33179.55
737,84,459864.91
738,104,276063.34
740,161,902032.93
741,83,1144137.36
742,148,84158.74
742,178,176938.81
745,31,403606.69
745,61,82598.34
746,122,170977.91
747,47,441120.6
747,57,271408.94
747,157,206268.21
747,190,97174.49
749,10,448011.11
749,20,407390.15
752,112,30705.43
761,47,372289.84
761,121,923188.24
764,178,418946.13
765,108,423633.74
766,124,712774.66
767,84,1063780.27
768,157,1920556.04
769,157,719443.32
773,190,186448.14
774,31,2698087.98
778,148,274791.67
779,10,547781.47
782,188,1578769.22
785,120,351293.44
787,77,383089.79
788,120,181334.74
788,176,483361.31
791,72,885632.09
792,5,58668.46
792,119,33787.94
796,49,84484.43
796,148,80179.28
800,48,786283.09
800,83,6383681.12
801,47,731978.64
801,186,355800.46
804,122,97215.83
804,161,455467.58
804,191,1398997.16
805,124,70054.52
807,61,280612.05
807,117,396785.07
810,124,623876.64
810,160,98817.01
814,5,34744.69
816,48,176715.13
816,148,288597.71
817,124,125503.09
820,83,285525.13
821,47,155805.2
822,148,70010.95
823,10,222642.07
823,54,112632.85
825,129,850603.17
826,104,5678922.61
828,36,241035.16
828,122,312536.69
829,84,575781.41
830,73,78287.97
831,161,1258234.46
832,189,679568.76
833,47,222533.45
833,174,1089478.4
835,108,756719.89
840,188,1078233.15
841,190,662191.69
842,67,175755.42
844,176,310590.46
849,84,929967.34
