TrialID,EventID,Loss
1,43,466183.67
1,44,3747625.26
2,34,276782.32
7,15,19101.65
11,119,791450.11
13,134,561325.87
13,150,3172102.01
16,120,1653749.54
16,162,220033.83
17,157,206283.14
18,16,37351.96
18,29,1468673.22
19,91,6910.98
20,117,880399.13
20,141,44430.03
21,68,3438125.95
21,76,178410.44
21,95,63921.59
22,182,1318335.28
25,112,363084.08
25,155,376534.51
26,119,240153.31
28,47,192327.18
28,192,325479.61
30,106,829233.86
32,43,1349234.43
36,119,930542.7
39,54,864392.47
40,68,1964815.28
41,68,524542.72
41,120,342985.65
42,141,499723.23
43,91,9586.68
43,99,1926726.36
44,184,1516572.58
45,103,59017.24
48,68,844609.35
49,81,349638.9
54,76,111992.75
55,146,955191.73
56,120,791021.31
57,112,132820.67
58,68,1008736.8
64,99,2798889.96
65,178,3794055.55
68,112,2018417.12
68,192,1671612.34
69,40,1000551.37
72,47,288493.05
74,40,758030.35
76,5,82028.03
82,21,116305.39
83,84,1192325.43
85,95,903202.59
86,16,17335.99
89,5,515982.63
89,48,121612.84
90,141,63700.26
91,107,1130956.61
97,54,177575.42
98,68,277666.83
99,99,451436.12
103,112,1680536.57
104,119,153456.89
106,40,174578.98
106,130,347062.69
109,107,236337.4
115,107,179848.59
115,150,88287.62
116,76,199021.7
116,91,141116.92
117,76,86913.2
117,101,908935.55
120,16,54791.16
120,101,2062775.91
121,141,385055.81
122,178,1344717.61
125,120,199692.46
125,147,96535.19
126,44,555901.35
126,48,1036799.83
130,101,689131.25
132,68,800148.34
132,155,221786.74
133,34,456514.58
133,48,60654.03
133,189,1607074.81
137,134,93813.76
142,107,909082.07
143,118,140494.59
146,178,1468647.94
147,146,87740.24
147,184,2393064.88
149,106,200683.02
150,84,512092.62
150,95,123700.26
152,159,31687.07
153,115,254716.43
153,130,46553.21
154,134,395710.96
155,150,1005642.46
155,157,1211200.14
157,155,799451.67
161,40,700881.93
162,99,1609441.0
162,175,116988.23
163,34,236913.67
170,120,59177.64
174,103,276881.92
175,141,212740.78
175,197,348761.9
177,48,275532.56
177,87,112950.73
178,76,344040.07
179,184,704834.17
180,184,770705.61
182,68,3653192.12
186,117,1565438.27
186,192,295017.09
187,119,436977.45
188,16,827888.04
188,128,778732.33
194,117,695648.17
194,155,1070658.29
196,189,605068.88
198,119,72137.19
198,157,187426.22
204,99,538126.92
207,112,69133.07
215,115,86361.45
217,175,62546.07
218,99,175161.28
218,155,1100359.31
218,184,1734592.31
220,40,1181850.75
220,103,111020.87
221,76,28940.73
222,90,6786.79
223,178,2161437.79
225,84,2844788.3
228,16,70226.79
228,182,2106991.79
231,128,531408.69
232,81,153563.86
232,134,886902.29
233,115,554146.91
233,194,586382.73
239,178,607867.13
242,112,110170.85
243,87,454037.57
245,84,2475322.43
245,150,260504.86
247,150,685014.07
251,84,1370921.53
253,134,1119493.28
254,54,575169.49
255,159,95378.7
257,48,88982.03
258,184,1112814.82
260,112,1100682.67
261,147,95705.41
262,78,509587.64
262,84,1850543.55
262,117,1977047.6
263,101,1020332.87
265,103,258457.53
275,91,50770.32
276,90,6594.41
276,141,39906.25
280,120,121296.27
281,84,2649224.41
281,150,189943.9
282,147,88337.01
284,134,182254.75
285,189,151767.24
286,5,30985.26
289,130,146697.24
290,107,655094.96
290,134,511057.3
290,178,1739999.37
292,84,595548.67
296,99,883915.88
300,76,399996.69
301,84,1771546.3
305,115,1101458.81
308,84,928031.42
308,147,58191.99
308,157,2125175.27
309,34,64046.76
312,103,410843.6
314,107,105302.79
315,34,1447578.94
316,130,797189.11
318,44,53132.05
320,34,175857.73
322,87,142798.27
323,189,2412191.9
324,68,637896.73
324,155,132609.04
326,184,668660.82
332,155,246509.51
332,184,1286549.87
335,1,439344.88
335,146,243131.35
341,115,950536.47
345,68,204633.55
345,128,580793.24
346,162,472477.58
347,51,882643.3
347,141,145735.14
349,7,126452.27
349,189,2197713.82
350,106,1298914.62
350,115,725181.64
350,189,487872.48
351,175,334914.19
354,105,133111.81
354,115,514027.63
358,54,847554.69
358,76,66210.08
361,189,1999503.48
362,119,667677.72
364,48,50822.87
369,76,330084.41
371,107,183491.16
372,134,1515995.96
373,101,783213.33
375,147,1162313.21
375,175,126850.81
377,73,103306.77
377,86,103398.43
380,101,828260.08
380,189,186437.82
385,197,3840789.19
388,115,452631.02
389,39,1540669.68
391,198,1849670.36
392,194,607519.62
393,134,220700.6
393,178,5931043.28
395,34,264712.36
400,91,13180.86
400,155,92482.55
404,87,431206.0
404,99,834241.9
406,101,471008.94
406,106,1169865.51
408,120,186463.87
409,5,712820.35
409,189,498174.19
411,112,498431.1
412,107,1021908.72
413,117,554529.33
413,159,944045.85
416,157,56312.69
417,103,2188546.36
418,189,7847282.62
422,107,139504.33
423,7,379376.23
423,34,262334.78
427,54,3323004.03
429,106,811511.6
430,81,361034.17
431,134,438248.69
432,87,307770.16
432,99,1682134.41
435,86,93630.58
436,194,602173.63
438,47,294445.59
438,78,110430.83
440,48,263615.87
441,197,2239646.85
448,51,303497.15
448,155,337957.56
450,115,59840.01
453,95,231341.93
455,189,1277257.05
455,198,1080751.87
462,103,128583.6
462,118,554368.27
464,115,174709.3
466,84,6132449.1
466,155,717150.71
467,115,195167.51
468,44,1267050.4
468,103,408831.68
470,101,1663400.11
470,159,23266.34
471,155,859909.06
472,106,648357.91
472,128,755639.07
474,119,63637.47
476,15,211350.08
478,106,379813.63
479,120,368115.04
481,178,477569.96
482,117,1605378.45
483,103,113952.45
485,47,197149.05
485,99,2602310.01
488,84,849722.35
488,115,145800.95
489,166,454296.19
490,5,19334.55
490,48,249790.47
495,81,193765.18
496,86,42378.63
497,116,66001.12
498,29,3781125.65
498,178,1139683.26
499,47,369716.29
500,48,108326.46
504,84,785064.38
506,119,484437.8
508,16,93653.64
510,117,1486377.82
513,159,108957.53
517,101,1552312.63
520,115,153698.52
522,29,1292796.85
523,68,2883018.81
528,107,344725.16
530,78,146938.15
531,155,22320.06
535,134,1645088.54
540,81,153007.86
542,99,820830.56
543,134,1557717.68
545,146,213024.7
550,107,212742.01
551,107,51928.58
552,48,109798.93
552,189,2042889.81
553,87,358910.06
555,106,2075860.03
555,175,13540.23
556,81,71621.04
558,68,1708209.89
558,130,350927.93
560,189,1215616.33
566,95,539268.28
567,73,820697.26
568,107,481066.4
570,54,2976747.42
571,118,283069.01
572,84,750305.26
573,87,755510.15
579,7,45890.33
579,34,73561.43
579,103,299980.83
580,81,590981.63
581,162,218798.46
582,106,392841.57
583,81,955998.14
584,1,579229.44
585,47,707771.21
585,119,699068.61
588,107,522931.63
589,91,5861.55
589,198,2139778.13
590,130,122464.82
592,54,148565.05
592,95,237334.77
594,175,85304.04
594,182,1164949.59
597,103,530266.14
597,141,58113.52
597,178,1307070.47
599,81,432889.53
599,84,540276.58
600,103,646398.41
601,103,561278.39
602,47,283266.39
606,34,58017.15
607,178,1115656.42
609,50,138000.0
609,159,151372.32
610,130,86300.04
612,34,55718.68
615,84,2502794.84
615,155,2532776.42
616,86,39601.15
618,5,37028.02
618,81,268026.0
618,150,640327.43
620,99,882108.6
621,162,737480.66
624,76,1060509.07
624,81,454821.94
624,162,100730.0
626,84,1270915.46
628,157,433007.56
629,119,158199.07
630,115,97155.24
631,175,32397.12
638,16,230352.74
640,76,28484.4
643,106,514446.1
645,166,101421.69
647,106,577249.28
647,117,1785451.11
650,159,98334.96
654,48,91372.35
654,128,9307139.43
657,189,1031057.36
658,184,236629.89
662,29,692061.6
663,73,80764.1
663,95,534507.8
664,5,43839.36
667,73,80138.14
669,117,1094398.17
669,118,1748180.77
670,130,338159.19
671,73,281631.06
672,103,257702.44
674,15,27624.44
675,159,255687.18
676,130,186543.54
676,134,281129.4
677,29,1235016.16
679,115,102177.89
680,48,289810.04
681,162,22000.32
682,134,177509.38
684,48,180909.09
685,159,851574.24
688,119,632832.83
693,103,648195.42
693,119,1688701.66
695,99,711219.47
695,146,787368.04
697,84,745519.28
699,76,108095.33
699,157,105388.55
700,119,418957.69
701,197,1680720.06
704,112,1969552.1
708,29,426158.8
711,95,160915.8
711,107,1424540.63
713,192,671359.9
714,106,258129.1
714,182,782928.96
715,184,1511919.06
717,68,448792.76
718,107,391095.48
719,182,597059.22
720,146,482460.85
721,130,1172124.17
723,95,988988.47
725,90,60304.42
727,87,326639.81
728,106,781737.16
730,91,6560.15
732,44,320405.41
734,68,589351.28
734,99,587226.99
734,157,75593.0
735,16,83794.26
735,40,219389.97
735,115,244224.7
736,48,100707.21
737,84,1484829.02
739,68,2068456.56
740,150,872521.39
741,147,1189250.88
742,178,783253.46
744,159,80400.69
746,106,866270.87
747,47,381222.57
747,157,754870.7
748,107,252058.02
748,155,40092.54
749,16,12865.17
750,95,197443.17
752,112,1845205.91
756,40,430232.5
756,115,46822.73
756,134,316365.94
761,47,286317.36
761,150,550884.98
763,101,269594.78
764,178,3211525.01
766,128,802653.82
766,150,239752.35
767,16,80291.99
767,84,1479618.08
767,101,1180484.82
767,150,760606.62
768,157,763985.17
769,157,195278.64
774,16,63255.09
774,134,1837788.02
775,16,59433.48
776,91,233038.29
776,103,417532.77
777,51,264168.67
778,155,608978.2
779,115,87693.11
784,16,33018.65
785,120,456580.37
786,101,2068212.48
788,86,25902.51
788,120,632232.21
788,159,291380.88
792,5,31956.23
792,119,191099.51
793,155,1363870.19
794,51,763283.72
800,48,155509.95
801,47,775418.89
801,106,1083210.68
802,76,12782.65
802,95,96590.94
802,130,61157.71
807,117,1866038.51
811,107,324276.32
814,5,36979.26
816,48,32971.56
819,16,166482.28
821,47,150461.61
821,51,298734.44
823,54,1186278.89
823,130,89968.63
827,134,1073129.4
827,150,1830339.02
828,103,879908.1
828,159,516855.66
828,184,2378788.99
829,84,915405.47
830,73,512743.38
831,68,733046.95
832,189,484557.03
833,47,162651.96
834,51,187672.74
834,182,2240125.9
839,192,475233.14
843,99,215661.02
843,107,132030.8
845,101,2721921.61
849,84,2142884.12
849,101,125164.05
851,117,1064100.06
854,116,62135.0
