TrialID,EventID,Loss
3,153,424646.94
6,14,89040.05
6,121,982286.65
16,200,186346.35
21,196,204580.63
23,100,6846.67
23,125,610058.2
27,102,2635346.34
30,70,471522.92
33,122,3292582.2
34,140,378864.4
39,61,5786412.44
40,94,1179836.42
43,125,1865639.86
45,70,326843.31
48,153,177263.92
53,196,137477.85
56,100,24038.1
58,176,2474239.89
59,122,2556968.31
61,185,119859.05
65,122,275872.4
66,14,245299.91
69,125,1089835.66
70,102,1751177.33
72,20,1282154.17
75,35,297255.17
76,5,33488.91
76,61,988480.57
78,14,329841.14
83,61,408566.26
83,84,982896.56
89,5,262454.72
89,48,2278056.89
102,164,277012.77
120,52,79569.46
122,61,2285530.42
124,61,2832383.54
124,125,1204534.33
125,125,1047141.59
126,48,206174.09
128,61,409235.96
129,125,563059.87
133,48,114013.13
135,14,180946.84
140,176,429115.5
142,164,236335.6
143,118,276996.8
147,121,295722.73
150,84,364374.5
151,196,126645.02
152,56,370951.62
154,52,72909.42
158,52,782250.9
162,35,2697664.74
163,60,601048.63
164,176,1446964.89
167,56,384459.17
171,52,430712.49
176,139,14680.62
177,48,148911.73
184,121,345811.62
185,56,1833232.74
187,20,681224.42
194,61,1133200.02
195,20,927526.75
195,52,327622.06
200,52,80545.6
205,164,226177.19
210,52,131515.97
210,61,332282.94
211,183,1375581.8
213,60,595661.96
213,153,546078.61
214,61,886362.14
215,185,95957.71
216,70,328920.19
217,121,71260.69
217,176,1635603.77
223,140,1457168.22
224,20,369998.85
225,14,45221.3
225,84,4981309.71
228,164,65150.69
232,176,3837417.06
233,194,2708792.54
235,52,327910.64
236,14,49008.42
237,32,71430.76
237,140,287242.91
245,84,1320076.75
248,185,2655862.39
249,122,384754.67
251,84,2743041.31
254,122,119557.14
257,48,116471.45
259,185,360353.9
262,84,1963704.61
263,23,245186.41
265,52,524714.01
271,140,128459.73
276,94,431887.62
277,102,573438.63
279,164,455978.4
281,84,2316532.85
282,125,1513621.53
286,5,94114.43
287,139,725904.35
288,60,679998.78
289,14,1229324.95
292,84,1030017.21
296,61,3300177.78
296,100,42242.54
301,84,1263405.78
308,84,559460.52
312,60,236380.28
312,125,341759.62
316,60,2687671.78
318,102,853021.53
319,164,2911231.58
326,185,112715.1
329,20,793028.71
329,122,658640.94
333,153,629525.12
337,100,791955.27
343,125,1117084.33
346,56,1082582.62
351,122,330262.24
351,140,144821.81
352,185,40291.11
354,105,90544.98
354,196,77035.15
360,125,637143.61
362,14,191434.75
364,48,264939.97
364,52,300128.56
365,61,1516325.46
371,140,450331.63
373,164,314980.03
377,121,587427.03
379,153,2709461.1
387,55,486228.49
388,32,328938.91
391,198,273387.35
392,194,2256110.05
393,14,584251.42
393,52,82063.18
395,164,531044.62
400,61,1308470.46
403,60,4248216.6
406,121,194514.2
406,122,259017.36
409,5,463849.73
411,164,169803.27
414,196,36295.18
416,52,495155.84
416,139,8805.38
417,125,1796930.83
425,121,351523.4
425,140,330481.03
427,52,294647.79
429,61,394189.32
433,153,124076.99
435,140,142752.56
436,194,812616.11
440,48,2013354.67
442,60,728338.33
451,185,1097088.39
454,14,126281.43
455,198,141809.1
456,52,6689832.51
462,118,295174.3
464,153,1345615.33
466,84,2627634.52
466,121,717119.87
471,176,386728.37
472,100,51312.51
477,52,87211.18
480,60,708245.72
481,32,143631.56
488,84,346276.84
489,166,1585774.03
490,5,46166.73
490,48,82049.69
491,102,915374.76
492,14,143654.09
500,48,235495.75
504,84,1083076.7
506,153,824470.4
507,14,35881.51
513,55,2294658.02
514,60,277188.16
515,125,910273.91
520,164,95315.18
521,164,199686.18
525,35,778193.72
527,52,1259874.59
529,125,222404.95
530,60,740300.53
532,200,660821.33
534,56,376203.69
535,56,512019.79
536,139,65306.28
552,48,1096830.82
563,14,175007.24
565,60,123625.33
567,60,1459454.02
570,121,380862.14
571,20,392323.38
571,118,585371.75
572,84,854750.79
573,122,282548.13
588,153,789454.59
589,198,1254118.93
592,60,5970787.26
593,14,9121.62
594,14,1030908.6
595,20,280074.14
599,84,512502.16
599,121,77598.26
600,196,130546.79
603,32,587468.67
609,139,42346.22
610,35,213129.54
615,84,1491077.07
618,5,41853.54
619,164,155741.56
620,60,105916.33
621,176,3219136.91
626,84,1681014.85
626,185,152344.95
628,52,304058.45
630,121,1427006.91
635,70,445306.21
641,60,2540328.67
645,166,276249.29
652,176,2445782.14
654,48,2342874.54
656,52,292563.4
656,196,144677.93
658,164,14315.17
659,176,1454270.31
661,125,626784.91
664,5,220121.36
669,118,1786490.88
670,52,202879.7
672,140,147651.74
676,35,667157.66
678,125,2620380.29
680,48,1278135.74
681,14,12293.3
681,60,301558.71
682,140,300789.31
683,100,13345.53
684,20,2546655.36
684,48,1039922.2
691,164,26218.51
692,70,381409.11
693,70,146439.72
694,196,1174468.47
697,84,921018.11
699,125,691064.64
705,102,703228.59
714,176,3843453.01
715,52,133320.85
717,102,822803.0
719,56,833130.56
723,164,77281.6
731,14,137515.93
733,164,85731.95
736,48,226397.91
737,84,1050368.99
739,153,5493429.18
741,153,395518.42
744,185,329078.42
745,61,678602.42
746,122,343544.04
747,164,232434.14
749,20,374584.79
755,70,325710.77
755,196,226643.64
758,14,51273.37
761,121,152089.15
767,84,2633803.89
777,153,263900.45
779,125,470058.64
780,196,172026.22
788,176,594303.45
788,185,344993.12
792,5,150036.2
800,48,726712.23
802,164,663358.26
804,122,131523.98
804,164,516412.02
807,61,674922.77
808,140,274397.91
808,196,135919.56
811,164,174712.94
814,5,462051.7
816,48,138777.36
823,164,56191.61
825,14,20458.9
825,139,39296.87
826,185,157153.3
828,122,309679.82
829,14,12253.14
829,84,518753.71
834,153,3576119.24
837,70,968045.54
838,164,334005.05
840,14,124255.34
843,164,3000698.43
844,176,412784.17
849,84,567440.62
850,125,898569.95
851,32,204904.9
851,70,1386416.07
852,185,297342.27
852,200,340943.22
857,125,1006484.41
860,60,412283.99
860,198,482001.69
863,185,233947.36
868,100,12448.53
868,153,98893.27
868,176,6467836.39
870,56,922365.19
872,139,64826.67
873,56,289043.51
876,32,134777.32
881,61,6489147.81
881,185,165777.1
884,125,173173.89
884,176,1598445.39
886,14,13843.87
886,121,351495.44
887,55,1727426.65
890,52,149768.65
893,56,1530247.89
895,20,440390.79
898,60,1084394.76
905,70,543729.19
906,52,654256.7
908,194,827111.89
910,56,1296852.37
912,84,827300.85
912,121,289557.17
912,166,322385.98
924,140,76133.85
927,70,305619.65
927,118,503379.83
929,60,6288614.18
930,52,435661.34
931,60,214253.74
931,153,233993.23
935,20,278848.73
936,5,51599.33
938,118,782955.44
942,139,82017.14
946,121,194679.85
952,20,443243.25
958,60,257803.12
959,48,468212.89
959,125,944841.19
960,122,542013.7
970,23,314012.92
972,185,2587929.96
973,102,1329505.38
974,20,582589.64
978,60,3355803.23
981,122,2016478.52
986,125,1073393.63
987,20,321268.98
995,84,1480676.31
997,52,2462385.68
997,185,287971.96
999,198,134782.1
1002,139,185936.21
1003,140,66969.84
1005,121,259992.83
1007,61,1214599.74
1010,70,532812.3
1015,60,451623.75
1016,60,833136.17
1020,14,853329.41
1020,196,66220.84
1021,23,320151.24
1022,140,186423.52
1023,153,635366.55
1024,176,2971047.37
1030,32,273196.4
1030,52,100674.91
1034,84,943514.74
1035,121,196993.91
1044,100,11079.17
1051,5,8880.59
1058,153,812271.82
1060,118,99292.45
1062,61,2214101.57
1063,20,178008.11
1063,105,13029.74
1063,185,638747.8
1066,164,129266.08
1071,121,514445.11
1078,14,114966.32
1080,118,242143.01
1085,84,2896364.77
1085,153,1326119.39
1088,5,296261.34
1088,23,402024.73
1088,125,2688454.82
1089,23,290599.14
1090,140,609727.17
1100,55,1057328.42
1103,32,230138.65
1105,35,942441.79
1109,48,1122164.62
1116,196,25813.31
1119,14,41645.16
1120,61,654701.52
1120,196,78657.75
1124,32,36581.24
1127,185,190820.18
1128,35,1565094.88
1128,196,357233.51
1129,164,1373392.81
1136,121,105610.69
1138,125,464296.51
1146,61,1016214.67
1152,198,169653.49
1154,56,1265387.8
1154,153,1019609.81
1155,20,395122.46
1156,198,119615.64
1158,14,27985.49
1159,196,655127.07
1160,164,818754.94
1161,102,2003827.0
1162,14,270844.43
1164,52,487154.24
1164,153,1030888.42
1166,166,302502.59
1167,125,1399568.27
1168,122,523330.26
1170,5,27535.01
1171,176,2077639.81
1176,100,30618.51
1180,23,892712.87
1180,196,93601.92
1184,60,633174.55
1184,185,267759.58
1193,153,522668.56
1197,166,1662367.05
1198,176,677449.85
1200,14,650009.88
1202,153,5184501.27
1208,153,750608.19
1213,35,509339.57
1215,102,5979063.87
1218,139,50482.89
1225,176,1190735.62
1226,61,281711.54
1227,125,962068.77
1228,32,158697.17
1231,176,917364.4
1232,185,199927.67
1235,84,371706.46
1239,100,47320.81
1241,122,265283.04
1243,176,682082.03
1244,60,99723.51
1244,185,119288.21
1247,52,94780.46
1248,194,1377687.63
1251,84,617297.07
1253,20,256419.02
1253,32,864863.89
1253,84,1384687.52
1254,105,47693.11
1260,52,388443.77
1261,176,844220.25
1264,185,151391.91
1268,60,352295.85
1271,70,89525.82
1272,56,483166.81
1272,125,839574.88
1273,185,2431826.97
1274,185,70389.31
1276,102,1065128.53
1277,56,689611.68
1277,60,204229.2
1278,52,149811.16
1280,164,78998.49
1280,176,1448147.56
1282,60,541904.96
1284,125,792821.26
1285,164,39036.21
1295,14,124470.54
1299,32,135347.07
1302,176,852913.8
1306,185,68590.12
1307,185,2498490.0
1308,183,77992.19
1310,60,2675324.21
1313,14,104392.39
1319,198,1074459.68
1322,176,695773.4
1324,52,357820.93
1324,56,183508.15
1326,61,1600327.57
1341,48,251901.85
1348,166,3715381.02
1349,121,100443.79
1350,196,120046.42
1352,5,154293.51
1356,94,1288793.03
1360,121,42136.63
1364,84,457584.46
1366,5,54391.01
1367,20,403277.23
1368,48,353856.81
1370,153,952582.86
1372,125,693459.1
1373,23,202710.61
1375,32,176266.38
1375,140,100263.99
1377,125,387545.01
1380,61,5435842.9
1380,176,996494.44
1384,196,136292.13
1386,32,273202.54
1389,185,220577.86
1390,32,619147.72
1394,102,1705812.67
1396,166,1607086.16
1397,48,443929.87
1402,176,669539.74
1405,196,289297.09
1413,153,382493.75
1422,164,65362.88
1433,61,430080.58
1436,176,1671066.02
1437,20,348560.92
1442,52,320004.27
1443,32,149195.09
1443,61,1262957.85
1446,164,164077.13
1448,60,80817.52
1452,61,360006.91
1455,84,380744.13
1471,5,41858.65
1475,125,780160.63
1476,84,258344.44
1477,105,190070.2
1479,5,97479.96
1480,140,208501.17
1481,5,54752.72
1483,176,6467836.39
1485,20,528011.27
1486,166,406452.6
1490,196,144960.6
1493,52,278233.52
1496,166,641339.05
1500,185,328547.77
1502,70,502475.75
1508,84,553160.32
1508,121,308674.34
1510,52,978313.58
1511,185,523153.18
1513,5,50860.1
1513,84,687623.25
1521,70,1152123.92
1523,153,281401.61
1525,166,3275964.83
1531,23,41248.67
1532,32,3672111.59
1540,176,907636.46
1541,118,163968.96
1546,198,526114.96
1551,70,104335.46
1557,14,48970.79
1563,5,33811.82
1564,32,54380.98
1565,5,41427.43
1565,164,118893.0
1570,166,556210.08
1574,52,528904.92
1576,20,758993.0
1577,194,1118346.89
1584,5,12667.28
1590,84,923224.0
1592,139,190294.51
1597,48,595976.19
1598,70,890938.87
1599,164,1592462.75
1599,176,1480937.31
1601,102,545383.66
1604,14,86098.95
1605,153,996182.34
1610,52,469128.6
1611,176,1121303.61
1612,61,451783.57
1614,52,50558.23
1614,100,2031.69
1615,14,9559.11
1615,60,4856839.26
1618,14,89353.88
1620,125,1277269.35
1622,122,830922.37
1623,60,2234839.39
1623,125,927937.05
1624,125,909174.11
1625,32,328666.39
