TrialID,EventID,Loss
2,34,3503252.69
2,195,371169.61
3,153,58654.55
5,88,838944.16
6,14,185594.67
11,195,1602891.48
13,96,1556763.55
13,134,677366.18
13,150,286105.83
20,111,769718.65
20,117,1546493.25
21,95,794950.91
22,182,1498684.94
27,102,371883.36
28,192,1829672.36
30,70,273239.67
30,186,235550.97
33,122,1435615.75
34,142,89569.06
35,96,142492.15
36,4,187905.81
36,111,445706.26
38,36,2412225.99
39,61,2154543.4
40,94,929946.12
45,70,667227.85
47,4,2041307.96
47,173,63968.9
48,153,86069.52
49,4,868638.08
49,81,999717.15
50,36,355332.12
50,42,80469.85
50,85,2718675.46
53,151,3538.14
56,6,1349339.37
58,176,2164974.06
59,122,178841.71
60,179,556301.12
61,185,570391.99
63,179,403642.72
65,122,714558.94
66,14,71888.56
68,13,1391924.66
68,151,8277.33
68,192,3011010.12
69,27,545119.14
70,96,307656.34
70,102,2442122.71
76,61,614491.32
77,6,1035151.37
77,195,451878.32
78,14,194233.42
82,133,556790.44
83,61,526202.47
83,84,1313558.17
85,95,888618.64
86,195,941205.35
87,136,778040.2
91,96,325378.2
96,136,87823.54
102,133,603832.19
109,173,250332.15
109,179,488505.66
115,145,97858.84
115,150,202478.57
120,52,84264.09
122,61,469564.02
123,179,251834.88
123,186,1304145.54
124,61,265297.75
128,61,2415899.2
131,88,220378.38
132,6,1665130.56
133,34,1039112.83
133,173,26342.92
135,13,816849.23
135,14,161778.47
137,134,115451.48
139,173,30000.81
140,176,256461.31
143,118,213668.82
150,84,358977.22
150,95,565265.5
152,159,5457.67
154,52,576267.91
154,134,1533081.28
155,150,141885.19
158,52,1377387.82
161,148,604452.88
162,175,156003.19
163,34,865500.65
163,85,1022844.0
164,176,618178.08
167,133,202972.84
167,179,491619.52
169,173,192553.61
170,148,204154.29
171,52,156070.57
173,145,38926.51
177,87,205938.14
183,45,2350521.82
186,117,628011.57
186,192,374729.75
188,96,481280.43
191,45,3567079.58
194,61,1297206.9
