TrialID,EventID,Loss
1,43,15505503.51
1,44,5275600.449999999
2,9,3627217.2800000003
2,34,8495357.63
2,191,5207545.07
2,195,1292915.63
3,153,11521054.18
4,22,3813640.99
4,89,3777084.2399999998
5,19,564933.86
5,82,1012402.82
5,88,4568054.75
5,124,882746.89
6,14,1687662.42
6,121,7066953.15
7,15,1239754.59
7,66,537717.36
8,80,818842.28
9,92,4919100.35
9,110,351532.74
10,74,4067109.83
11,119,5032596.28
11,195,2345104.34
12,57,10348875.86
12,113,266606.62
12,143,1525547.16
13,12,3452816.25
13,96,13787804.24
13,134,1806757.12
13,150,11227442.41
14,113,996149.16
15,167,1436618.04
16,120,3877509.64
16,162,598622.96
16,200,5467288.99
17,33,958815.4199999999
17,157,2495525.02
18,16,5178445.17
18,29,3684322.75
19,91,46824.81
19,97,588345.53
20,111,6067270.58
20,117,8478679.21
20,141,226515.56
21,68,12021641.3
21,76,3610713.2800000003
21,95,1469712.87
21,196,578499.72
22,182,9964640.56
23,92,1682479.2999999998
23,100,331234.2
23,125,5196806.71
23,149,1325315.95
23,165,2306153.27
24,9,10830642.57
24,89,2958372.0199999996
25,37,135948.34
25,83,7295391.859999999
25,112,1365438.99
25,155,5747837.699999999
26,119,1175138.22
27,102,7249858.01
28,47,779797.02
28,92,741358.52
28,192,6732964.13
29,65,10345630.32
30,70,1228477.43
30,92,1292249.49
30,106,6677333.08
30,108,2081228.1600000001
30,186,944468.23
31,33,3696178.15
31,49,4036595.5
31,71,9324083.35
31,172,4195361.45
32,43,21862145.63
33,41,408411.75
33,58,9454025.209999999
33,122,9163095.35
34,140,2189904.41
34,142,6279140.19
35,96,5281075.59
36,4,1017709.79
36,111,12914552.7
36,119,3557159.4899999998
37,31,3494043.05
37,57,2916990.85
37,126,5489522.72
38,36,3734577.9400000004
39,54,2640657.52
39,61,26374768.12
40,59,431799.99
40,68,13659232.34
40,94,12623828.19
41,3,437892.83999999997
41,68,4902799.27
41,92,1773697.9100000001
